model,condition,domain,pred_len,mean,std,cv,n_backbones
mmtsflib,C5_constant,Economy,12,0.578855575993657,0.7514729672977246,1.2982045927565862,3
mmtsflib,C2_empty,Economy,12,0.5768394708219502,0.7484949201701768,1.2975792365658185,3
mmtsflib,C9_zero_priors,Economy,12,0.5449870102521446,0.7037743566707546,1.2913598735961527,3
mmtsflib,C8_oracle,Economy,12,0.48956461788879496,0.6320858598050633,1.2911183461968285,3
mmtsflib,C3_shuffled,Economy,12,0.44973972646726507,0.5757922172648037,1.2802787554208057,3
mmtsflib,C1_original,Economy,12,0.4342184917380412,0.5538558379979865,1.2755233794421659,3
mmtsflib,C4_crossdomain,Economy,12,0.4302550119658311,0.5481303168041172,1.2739661399868765,3
mmtsflib,C9_zero_priors,Economy,10,0.41291244762639207,0.5258754955518878,1.2735762716160741,3
mmtsflib,C3_shuffled,Economy,10,0.41739092332621414,0.5302350018805427,1.2703558516679452,3
mmtsflib,C4_crossdomain,Economy,10,0.41698759959803694,0.5295660101809041,1.2699802360822943,3
mmtsflib,C2_empty,Economy,10,0.4022454410377476,0.5099698910859594,1.2678077587909882,3
mmtsflib,C5_constant,Economy,10,0.39954038771490247,0.5060910408728216,1.266683059921216,3
mmtsflib,C8_oracle,Economy,10,0.39793373478783495,0.5025029569494011,1.2627804908707199,3
mmtsflib,C1_original,Economy,10,0.38093793599141973,0.47870746826470095,1.2566547540581083,3
tats,C6_unimodal,Economy,12,0.6209978355715672,0.7698634038755883,1.2397199471186644,3
mmtsflib,C8_oracle,Economy,6,0.3250244920038515,0.4015215858899457,1.235357936918759,3
tats,C9_zero_priors,Economy,12,0.5375674698087904,0.6619579615815037,1.2313951248146733,3
tats,C2_empty,Economy,12,0.5374386310577394,0.661775959468218,1.231351676684962,3
tats,C5_constant,Economy,12,0.5374297586580118,0.6617634215058901,1.231348675515002,3
mmtsflib,C2_empty,Economy,6,0.40610322190655596,0.49783975201650066,1.225894612899804,3
tats,C5_constant,Economy,10,0.45483818277716637,0.5571023146084527,1.2248362949805105,3
tats,C9_zero_priors,Economy,10,0.454727389332321,0.5569457812036717,1.2247904882559164,3
tats,C2_empty,Economy,10,0.4546508437229528,0.5568376420262335,1.2247588445377429,3
mmtsflib,C1_original,Economy,6,0.3062383609099521,0.374960542088558,1.224407487600201,3
mmtsflib,C4_crossdomain,Economy,6,0.29846678632828927,0.3642909115245579,1.2205408715858501,3
tats,C6_unimodal,Economy,10,0.5294105986961061,0.6458623664698029,1.2199649347038155,3
