model,backbone,condition,n_pairs,mean_diff,ci_lo,ci_hi,p_two,rel_diff,ref_mean
aurora,default,C2_empty,108,0.002018070107118951,0.00031844855122337265,0.0040976415590935,0.0132,0.0002359521365336211,8.552879142212785
aurora,default,C3_shuffled,108,0.0003240985657881807,-6.534172549705796e-05,0.0007618315185903123,0.1068,3.789350467827733e-05,8.552879142212785
aurora,default,C4_crossdomain,108,-0.0005067900099136212,-0.0028206236669103845,0.0015800555266819337,0.6562,-5.925373216281709e-05,8.552879142212785
aurora,default,C5_constant,108,0.002607210935955798,-0.002312110349346225,0.007469633898559818,0.2874,0.00030483430112883197,8.552879142212785
aurora,default,C6_unimodal,108,0.0,0.0,0.0,0.0001,0.0,8.552879142212785
aurora,default,C8_oracle,108,0.002048802717278401,-0.002237063514379163,0.006270299000337857,0.3374,0.00023954538386571176,8.552879142212785
aurora,default,C9_zero_priors,108,0.0,0.0,0.0,0.0001,0.0,8.552879142212785
mmtsflib,DLinear,C2_empty,108,0.29743485680470866,0.22675199216335185,0.37378735312484895,0.0001,0.023319836839501708,12.754585671066135
mmtsflib,DLinear,C3_shuffled,108,0.0007145200614575986,0.00022745809897228525,0.0013075334442503473,0.0008,5.6020640723633406e-05,12.754585671066135
mmtsflib,DLinear,C4_crossdomain,108,0.000753925492366155,0.000293207310864495,0.001325526286813396,0.0001,5.911015158073227e-05,12.754585671066135
mmtsflib,DLinear,C5_constant,108,0.2971359030860994,0.22651569228360638,0.37366730755332994,0.0001,0.023296397919075822,12.754585671066135
mmtsflib,DLinear,C6_unimodal,108,0.33132905216404684,0.2006956419950627,0.47974656728630954,0.0001,0.025977249336736126,12.754585671066135
mmtsflib,DLinear,C8_oracle,108,0.0010154632920468295,0.0003122266278498704,0.001886199417317079,0.0006,7.961554520351179e-05,12.754585671066135
mmtsflib,DLinear,C9_zero_priors,108,0.2975880003844698,0.22669132599883057,0.3740197774962763,0.0001,0.023331843782236707,12.754585671066135
mmtsflib,Informer,C2_empty,108,0.20416947343835123,0.11969059574659224,0.30275233617673314,0.0001,0.013552696538587573,15.064859812734303
mmtsflib,Informer,C3_shuffled,108,0.017548884920499944,0.0014073964035897348,0.037234245882266086,0.031,0.0011648886971829568,15.064859812734303
mmtsflib,Informer,C4_crossdomain,108,0.009781175051574354,-0.009208806248864634,0.033523465496384436,0.3848,0.0006492708975165067,15.064859812734303
mmtsflib,Informer,C5_constant,108,0.21082992824139418,0.12612752396337415,0.3085097695252409,0.0001,0.013994815143462534,15.064859812734303
mmtsflib,Informer,C6_unimodal,108,0.20106005930790194,0.12056062342943973,0.29150211832106665,0.0001,0.013346294742015865,15.064859812734303
mmtsflib,Informer,C8_oracle,108,0.022073900947968166,-0.033101482799759614,0.07546510176250228,0.4122,0.0014652576407852883,15.064859812734303
mmtsflib,Informer,C9_zero_priors,108,0.19836105627042275,0.11425760013775696,0.2933873428273256,0.0001,0.013167135886837026,15.064859812734303
mmtsflib,iTransformer,C2_empty,108,0.519247542583832,0.30179425955068806,0.7769311922158252,0.0001,0.0382785804219201,13.564963404089212
mmtsflib,iTransformer,C3_shuffled,108,-0.0070128981541428305,-0.016392808659347117,0.0016975836651572144,0.1192,-0.0005169861462382394,13.564963404089212
mmtsflib,iTransformer,C4_crossdomain,108,-0.012077592158069214,-0.04843168916197976,0.012154288414900226,0.531,-0.0008903519897759824,13.564963404089212
mmtsflib,iTransformer,C5_constant,108,0.5200363686480732,0.30252245149092266,0.7778996944474916,0.0001,0.038336732150070246,13.564963404089212
mmtsflib,iTransformer,C6_unimodal,108,0.19711220063510593,0.10210547170006774,0.3090258340950607,0.0001,0.014530979167675873,13.564963404089212
mmtsflib,iTransformer,C8_oracle,108,0.0007338821543035683,-0.11683783851934734,0.10904881510650737,0.9666,5.410129997714086e-05,13.564963404089212
mmtsflib,iTransformer,C9_zero_priors,108,0.5153081922584938,0.3253399410168641,0.7313287972062998,0.0001,0.03798817415925738,13.564963404089212
tats,DLinear,C2_empty,108,6.157268868052159,4.843389424126319,7.592972137328426,0.0001,0.4957225782664354,12.420795699046856
tats,DLinear,C3_shuffled,108,0.0,0.0,0.0,0.0001,0.0,12.420795699046856
tats,DLinear,C4_crossdomain,108,-1.1037897180627893e-09,-3.311369154188368e-09,0.0,0.0001,-8.886626467477375e-11,12.420795699046856
tats,DLinear,C5_constant,108,6.157268868052159,4.843389424126319,7.592972137328426,0.0001,0.4957225782664354,12.420795699046856
tats,DLinear,C6_unimodal,108,0.7441345625557005,0.44928481588873126,1.0855852983982508,0.0001,0.059910377771756104,12.420795699046856
tats,DLinear,C8_oracle,108,-1.1037897180627893e-09,-3.311369154188368e-09,0.0,0.0001,-8.886626467477375e-11,12.420795699046856
