model,condition,domain,pred_len,mse_mean,mse_std,n_seeds
aurora,C1_original,Agriculture,6,0.18121560911337534,0.0034351433619359997,3
aurora,C1_original,Agriculture,8,0.23912363251050314,0.0016404838387323098,3
aurora,C1_original,Agriculture,10,0.30755509932835895,0.007586658013258023,3
aurora,C1_original,Agriculture,12,0.372310866912206,0.007816465439184763,3
aurora,C1_original,Climate,6,0.8580197691917419,0.004846989558760085,3
aurora,C1_original,Climate,8,0.8628936012585958,0.0020500940032611393,3
aurora,C1_original,Climate,10,0.865082303682963,0.0010324832052350246,3
aurora,C1_original,Climate,12,0.8732882936795553,0.0007717161260530016,3
aurora,C1_original,Economy,6,0.03598412747184435,0.0018821101100535925,3
aurora,C1_original,Economy,8,0.03349086890618006,0.0009088040007885938,3
aurora,C1_original,Economy,10,0.031133659804860752,0.0007583139420827652,3
aurora,C1_original,Economy,12,0.03232485925157865,0.0006060564808942935,3
aurora,C1_original,Energy,12,0.11931762595971425,0.0015206517153176623,3
aurora,C1_original,Energy,24,0.22513354321320853,0.0016722456549633155,3
aurora,C1_original,Energy,36,0.2912211815516154,0.0003825832371640033,3
aurora,C1_original,Energy,48,0.3836613595485687,0.0018893297514228189,3
aurora,C1_original,Environment,48,0.2804386417071025,0.00017321824134185023,3
aurora,C1_original,Environment,96,0.2844359676043193,9.686929069149554e-05,3
aurora,C1_original,Environment,192,0.27029024561246234,3.811819945933036e-05,3
aurora,C1_original,Environment,336,0.26904967427253723,4.987491442799101e-05,3
aurora,C1_original,Health,12,1.0923165877660115,0.0031301103126516057,3
aurora,C1_original,Health,24,1.5687598784764607,0.0011344481269868008,3
aurora,C1_original,Health,36,1.690741777420044,0.005252884628996366,3
aurora,C1_original,Health,48,1.8583023150761921,0.0028920691098465743,3
aurora,C1_original,Security,6,67.40186818440755,0.09655061518378294,3
aurora,C1_original,Security,8,70.76546223958333,0.3282095959663713,3
aurora,C1_original,Security,10,74.94325256347656,0.9703859683525122,3
aurora,C1_original,Security,12,77.77908833821614,0.13299099464996167,3
aurora,C1_original,SocialGood,6,0.7042396267255148,0.002204241431764316,3
aurora,C1_original,SocialGood,8,0.8034006158510844,0.004574605218204493,3
aurora,C1_original,SocialGood,10,0.8834358056386312,0.0022123135191278293,3
aurora,C1_original,SocialGood,12,0.9523283640543619,0.004309268812359339,3
aurora,C1_original,Traffic,6,0.15452562272548676,0.0007042843545997095,3
aurora,C1_original,Traffic,8,0.1586067130168279,0.0007111278396833759,3
aurora,C1_original,Traffic,10,0.1628633439540863,0.00089540379136224,3
aurora,C1_original,Traffic,12,0.1684862126906713,0.00030132509636146375,3
aurora,C2_empty,Agriculture,6,0.1816787471373876,0.003568625261957488,3
aurora,C2_empty,Agriculture,8,0.23938306172688803,0.001592602419841364,3
aurora,C2_empty,Agriculture,10,0.307775616645813,0.00772353571575207,3
aurora,C2_empty,Agriculture,12,0.3723057607809703,0.007718135970303974,3
aurora,C2_empty,Climate,6,0.8581080039342245,0.004843110018913834,3
aurora,C2_empty,Climate,8,0.8629759947458903,0.002044318196902242,3
aurora,C2_empty,Climate,10,0.8651716311772665,0.0010270235448855902,3
aurora,C2_empty,Climate,12,0.87337593237559,0.0007710115881702258,3
