domain,seq_len,pred_len,n_test_windows,prior_only_mse,prior_only_mae
Environment,96,48,3002,0.3039389005165406,0.4106573961506087
Environment,96,96,2954,0.30282279960226566,0.40940771809943977
Environment,96,192,2858,0.2895009752475019,0.4034346565796942
Environment,96,336,2714,0.28513692554842346,0.40251320116778416
Health,36,12,266,1.4632463716419402,0.842061348282707
Health,36,24,254,1.4417177722556267,0.8259138802208158
Health,36,36,242,1.4414116535079669,0.8230581558799174
Health,36,48,230,1.476177449386508,0.8366571394394983
Energy,36,12,284,0.5858402571543262,0.5936596398108368
Energy,36,24,272,0.6091646548060489,0.6109634127959206
Energy,36,36,260,0.6345328961781975,0.6294500866138866
Energy,36,48,248,0.6617013133794936,0.6505425798294495
Agriculture,8,6,94,0.5556048376889382,0.4966278907507649
Agriculture,8,8,92,0.5655601860036422,0.5013600025266064
Agriculture,8,10,90,0.5760049185905548,0.5062570208751219
Agriculture,8,12,88,0.5868191820675016,0.5111607357442272
Climate,8,6,94,0.9108848612533406,0.7465713392525003
Climate,8,8,92,0.9133376292566883,0.7473569037814443
Climate,8,10,90,0.9172389267530108,0.7485252462926384
Climate,8,12,88,0.9252398739275982,0.7520443205082358
Economy,8,6,79,0.018651385195509896,0.11516392149947156
Economy,8,8,77,0.018877965301247066,0.11615600304480861
Economy,8,10,75,0.019139528046621564,0.1172219727673676
Economy,8,12,73,0.019426478811450567,0.11832665380960321
Security,8,6,54,76.17999514726618,4.552536631440587
Security,8,8,52,78.88526971826147,4.657278792216966
Security,8,10,50,81.64902482669224,4.742102398936192
Security,8,12,48,84.58701928303142,4.824890206711959
SocialGood,8,6,173,1.5523435656988736,0.8947740093588176
SocialGood,8,8,171,1.5355453772518135,0.8905094207222954
SocialGood,8,10,169,1.5222417000674981,0.8866457369386023
SocialGood,8,12,167,1.5129605098427437,0.8830964032558861
Traffic,8,6,101,0.17181081669188683,0.26235262819777505
Traffic,8,8,99,0.1747466698953233,0.2645954045074594
Traffic,8,10,97,0.1776966331124096,0.2666083537144234
Traffic,8,12,95,0.1807379686494341,0.2685682626683852
