"Month","Exports","Imports","OT","start_date","date","end_date","his_avg_1","his_std_1","his_avg_2","his_std_2","his_avg_3","his_std_3","his_avg_4","his_std_4","his_avg_5","his_std_5","his_avg_6","his_std_6","his_avg_7","his_std_7","prior_history_avg","prior_history_std","Final_Search_2","Final_Search_4","Final_Search_6"
"January 2024",160578.7,253800.2,-93221.5,"2024-01-01","2024-01-01","2024-01-31",-89096.3,0.0,-94156.8,7156.627732389047,-88263.5,11393.051168146314,-82866.8,14248.926047483958,-81115.84,12946.166410872374,-80594.93333333333,11649.491075693682,-78813.61428571427,11632.019806612634,-89096.3,0.0,"Available facts are as follows: 2023-12-25: NA. 2023-12-18: NA.;","Available facts are as follows: 2023-12-25: The Centers for Disease Control and Prevention (CDC) estimates flu illnesses, medical visits, hospitalizations, and deaths in the United States. [Source: www.cdc.gov]; Influenza A virus infection can cause rare complications, such as permanent complete heart block. [Source: www.ncbi.nlm.nih.gov]; The influenza virus is one of the most prevalent viral infections, and vaccination can avert a significant number of cases. [Source: www.cdc.gov]; Avian influenza A(H5N1) virus clade 2.3.4.4b has been detected in wild terrestrial mammals in the United States in 2022. [Source: wwwnc.cdc.gov] 2023-12-18: The Centers for Disease Control and Prevention (CDC) has reported on influenza infection and vaccination coverage in the United States. [Source: www.cdc.gov]; The CDC has also reported on the 2021-22 influenza season in the United States. [Source: www.covid19treatmentguidelines.nih.gov]; Influenza vaccination coverage among adults in the United States is being monitored by the CDC. [Source: www.cdc.gov] 2023-12-11: As of December 2023, the United States is experiencing increased respiratory disease activity, with 4.4b Infections in Wild Terrestrial Mammals reported in 2022. [Source: pubmed.ncbi.nlm.nih.gov]; The CDC estimates that during the 2022-2023 season, 44% to 70% of people in the United States were vaccinated against flu. [Source: www.cdc.gov]; Up to 5.4 million people in the U.S. have already had flu this fall, according to the CDC. [Source: www.washingtonpost.com] 2023-12-04: The number of flu cases in the U.S. fluctuates by year, ranging from 9 to 41 million cases per year from 2010-2023 [Source: www.statista.com].; Influenza antiviral medications are available for treatment and prevention of influenza virus infection [Source: www.cdc.gov].; Vaccine effectiveness against influenza A-associated hospitalization, organ failure, and death was studied in the United States during the 2022-2023 season [Source: academic.oup.com].; Highly pathogenic avian influenza H5N1 virus infections have been reported in domestic cats in the USA, France, and Poland, as well as in farmed fur animals in Finland and Denmark [Source: www.ncbi.nlm.nih.gov].;","Available facts are as follows: 2023-12-25: NA. 2023-12-18: NA. 2023-12-11: NA. 2023-12-04: NA. 2023-11-27: NA. 2023-11-20: NA.;"
"February 2024",167171.5,242611.4,-75439.9,"2024-02-01","2024-02-01","2024-02-29",-71856.0,0.0,-77759.7,8349.092608182038,-74927.40000000001,7675.900179132082,-67943.3,15309.808629764122,-65393.14,14432.922792629355,-64252.86666666667,13207.904751271742,-62217.31428571429,13205.236501785768,-71856.0,0.0,"Available facts are as follows: 2024-01-22: NA. 2024-01-15: NA.;","Available facts are as follows: 2024-01-22: The Centers for Disease Control and Prevention (CDC) assesses the flu severity in the United States each week using three indicators across all age groups: percent of influenza-like illness (ILI), flu-associated hospitalizations, and flu-associated deaths. [Source: www.cdc.gov]; Seasonal influenza infections alone cost more than $10 billion in the United States each year. [Source: medicalcountermeasures.gov]; The CDC reports that flu activity is still elevated but decreasing across most of the country. [Source: www.cidrap.umn.edu] 2024-01-15: An estimated 10-37 million influenza infections occur each year in the US, with 114,000-624,000 needing hospital care for associated respiratory and heart conditions. [Source: www.ncbi.nlm.nih.gov]; CDC estimates that there have been at least 16 million flu illnesses, 73,000 hospitalizations, and 4,500 deaths occurred from influenza in the United States. [Source: www.cdc.gov] 2024-01-08: The influenza virus can cause infection in the lungs, and interstitial macrophages can mediate efferocytosis of alveolar epithelium after influenza infection. [Source: pubmed.ncbi.nlm.nih.gov]; In the United States, certain groups have a higher risk of flu, including American Indians and Alaska Natives. [Source: www.mayoclinic.org]; This flu season, most of the influenza viruses spreading are well-matched by those represented in this season's flu vaccines. [Source: www.cdc.gov]; Influenza vaccine can help prevent influenza virus infection, and the Infectious Diseases Society of America (IDSA) publishes guidelines for vaccination. [Source: www.ncbi.nlm.nih.gov]; The CDC provides data and surveillance on influenza, including infection control guidance and flu activity reports. [Source: www.cdc.gov]; Influenza activity in the United States during the 2021–2022 season began to increase in November, declined in January 2022, and increased again in March 2022. [Source: libguides.mskcc.org]; Flu activity remains high across most of the United States, with a slight dip nationwide. [Source: www.nbcnews.com] 2024-01-01: Objective facts about the Pulic Health and FLU situation:Influenza/Flu vaccines are recommended for children 6 years or younger in the United States. [Source: www.cdc.gov]In the United States, flu season typically occurs in the fall and winter, with peak activity between December and February. [Source: dbhds.virginia.gov]Vaccination against influenza viruses reduces infection. [Source: pubmed.ncbi.nlm.nih.gov];","Available facts are as follows: 2024-01-22: NA. 2024-01-15: NA. 2024-01-08: NA. 2024-01-01: NA. 2023-12-25: NA. 2023-12-18: NA.;"
"March 2024",179325.9,259144.7,-79818.8,"2024-03-01","2024-03-01","2024-03-31",-78135.8,0.0,-97398.75,27241.925141314805,-93015.8,20704.87852681101,-84918.625,23410.502667161305,-79727.24,23362.172789319065,-76176.65000000001,22633.44936237073,-73592.71428571429,21763.070971903187,-78135.8,0.0,"Available facts are as follows: 2024-02-19: NA. 2024-02-12: NA.;","Available facts are as follows: 2024-02-19: APHIS works closely with States and the poultry industry to prevent avian influenza from becoming established in the U.S. poultry population. [Source: www.aphis.usda.gov]; Flu levels remain elevated, with increases in half of US regions, as COVID-19 and respiratory syncytial virus (RSV) levels stayed on downward trends. [Source: www.cidrap.umn.edu]; The most common strains found in the United States are H1N1, H1N2, and H3N2. [Source: www.aphis.usda.gov] 2024-02-12: Influenza virus infection raises the risk of heart disease, and among adults hospitalized with flu, heart disease is one of the most common chronic conditions. [Source: www.cdc.gov]; The CDC is working closely with the Ministry of Health's Cambodia Communicable Disease Control Department to monitor human influenza A(H5N1) virus infections in Cambodia. [Source: www.cdc.gov]; The U.S. CDC posts preliminary estimates of the influenza disease burden. [Source: www.mass.gov] 2024-02-05: The 2023-24 influenza season is ongoing in the United States. [Source: www.cdc.gov]; The Centers for Disease Control and Prevention (CDC) provide recommendations for screening and testing for Hepatitis B Virus Infection. [Source: www.cdc.gov]; Influenza vaccination and early antiviral treatment can be effective in reducing the severity of influenza infection. [Source: www.ncbi.nlm.nih.gov]; Rapid detection of novel influenza virus infection is crucial for public health response. [Source: www.medrxiv.org]; Influenza infection during pregnancy can have severe consequences, and vaccination is recommended. [Source: www.ncbi.nlm.nih.gov]; Human infections with swine variant viruses have been reported in Brazil. [Source: www.who.int]; Flu activity is starting to pick up again in the US, and respiratory virus levels remain high overall. [Source: www.cnn.com] 2024-01-29: No HPAI A(H7) virus infections have ever been reported in people in the United States, but there have been four laboratory-confirmed cases of LPAI A. [Source: www.cdc.gov]; There have been cases of influenza A (H7N9) virus infection. [Source: www.ncbi.nlm.nih.gov]; The flu is a common contagious viral infection. [Source: www.yalemedicine.org]; Influenza infection during poultry outbreaks can occur. [Source: www.cdfa.ca.gov];","Available facts are as follows: 2024-02-19: NA. 2024-02-12: NA. 2024-02-05: NA. 2024-01-29: NA. 2024-01-22: NA. 2024-01-15: NA.;"
"January 2023",165342.2,254438.5,-89096.3,"2023-01-01","2023-01-01","2023-01-31",-99217.3,0.0,-87847.1,16079.89104689457,-80790.3,16693.61335241715,-79120.725,14033.332007373258,-78894.66,12163.730198545183,-77099.83333333334,11734.28661890729,-74350.70000000001,12947.92289532701,-99217.3,0.0,"Available facts are as follows: 2022-12-26: NA. 2022-12-19: NA.;","Available facts are as follows: 2022-12-19: In the United States, influenza virus infections result in an estimated 140,000-710,000 hospitalizations and 12,000-52,000 deaths per year. [Source: academic.oup.com]; Influenza antiviral use is important in patients hospitalized with laboratory-confirmed influenza. [Source: academic.oup.com] 2022-12-12: Objective facts about the Pulic Health and FLU situation:In the 2021-22 influenza season, there were cases of SARS-CoV-2 and influenza coinfection in the United States. [Source: www.cdc.gov]Influenza viruses can change through ""drift"" and ""shift"", which affects their infectivity. [Source: www.cdc.gov]Annual influenza cases in the United States ranged from 9 to 41 million over the past decade. [Source: www.ncbi.nlm.nih.gov]The incidence and severity of influenza infections vary from year to year. [Source: www.uspharmacist.com]Avian influenza viruses are currently circulating in the United States bird population. [Source: www.efsa.europa.eu] 2022-12-05: The United States has the strongest avian influenza surveillance program in the world, and USDA is working with its partners to actively look for the disease in. [Source]; Pregnant people are hit hard by the flu, but many remain unvaccinated. [Source]; Influenza A (H1N1) virus infections have been a significant concern in the United States, with past pandemics showing health disparities. [Source] 2022-11-28: The DDX58 gene is associated with susceptibility to severe influenza virus infection. [Source: pubmed.ncbi.nlm.nih.gov]; Genome sequencing and genetic characterization help understand properties of influenza viruses. [Source: www.cdc.gov]; First-trimester influenza infection increases the odds of non-syndromic oral clefts. [Source: www.ncbi.nlm.nih.gov]; Influenza virus infection can cause severe disease, especially in older adults, who make up 70%-85% of seasonal flu-related deaths in the United States. [Source: www.utsouthwestern.edu]; Exosomes released by influenza-virus-infected cells carry factors that modulate the host immune response. [Source: www.ncbi.nlm.nih.gov];","Available facts are as follows: 2022-12-26: NA. 2022-12-19: NA. 2022-12-12: NA. 2022-12-05: NA. 2022-11-28: NA. 2022-11-21: NA.;"
"February 2023",158850.8,230706.8,-71856.0,"2023-02-01","2023-02-01","2023-02-28",-83663.4,0.0,-76463.1,10182.76191315499,-66639.06666666667,18476.45022436218,-63777.425,16135.120515276603,-62732.240000000005,14167.520741223569,-60610.86666666667,13695.848424930333,-59749.55714285715,12708.522025378235,-83663.4,0.0,"Available facts are as follows: 2023-01-23: NA. 2023-01-16: NA.;","Available facts are as follows: 2023-01-23: The 2018-2019 influenza season in the US saw a significant number of influenza cases, with a focus on influenza vaccination. [Source]; In the US, there have been around a dozen infections of H5N1 (bird flu) in mammals over the past year, sparking concerns about its potential spread to humans. [Source]; Influenza vaccination has been shown to be effective against influenza-associated urgent care visits. [Source]; The US Army and WRAIR have invested in research infrastructure to combat emerging infectious diseases. [Source]; Antibiotic misuse can lead to increased risk of infections, including influenza. [Source] 2023-01-16: In the decade before 2023, influenza virus infections resulted in an estimated 140 000–710 000 hospitalizations and 12 000–52 000 deaths per year in the United States. [Source: www.ncbi.nlm.nih.gov]; As of January 2023, there were reports of early and increased influenza activity among children in the United States. [Source: www.cdc.gov]; Avian influenza A(H5) virus caused a human infection in Ecuador, which is the first reported case in Latin America and the Caribbean. [Source: www.who.int]; Two human infections of avian influenza have been confirmed in the Americas: one in the United States in April 2022 and one in Ecuador in January 2023. [Source: www.paho.org] 2023-01-09: The 2021-2022 flu season saw a positive test for avian influenza A(H5) virus in a human in the United States. [Source: www.cdc.gov]; Serum 25(OH)D concentrations are inversely associated with respiratory infection occurrence among United States adults. [Source: pubmed.ncbi.nlm.nih.gov]; There have been over 400 recorded zoonotic infections in the United States caused by North American cluster IV-H3 influenza A viruses. [Source: www.ncbi.nlm.nih.gov]; Respiratory syncytial virus disease burden is significant in adults aged 60 years and older in the United States. [Source: pubmed.ncbi.nlm.nih.gov]; Alveolar macrophages play a crucial role in defending against influenza virus infection. [Source: www.ncbi.nlm.nih.gov]; Insufficient sleep is associated with respiratory infection, including influenza and pneumonia. [Source: www.sciencedirect.com]; Avian influenza outbreaks have reduced egg production in the United States, driving prices up. [Source: www.ers.usda.gov]; Baloxavir is an antiviral medication approved for the treatment of influenza A and B virus infections in several countries, including Japan and the USA. [Source: www.ncbi.nlm.nih.gov] 2023-01-02: Seasonal influenza virus infections cause significant global morbidity and mortality annually, despite the availability of vaccines. [Source: www.ncbi.nlm.nih.gov]; In the United States, influenza vaccine effectiveness against influenza A(H3N2)-related illness during the 2021–2022 influenza season was measured. [Source: www.cdc.gov]; Infection control in long-term care facilities is of utmost importance during the flu season. [Source: www.health.state.mn.us]; Wild birds are frequently infected with avian influenza viruses, but a new strain is classified as “highly pathogenic.” [Source: www.nps.gov]; Avian Influenza (AI) refers to the disease caused by infection with avian influenza Type A viruses. [Source: www.maine.gov];","Available facts are as follows: 2023-01-23: NA. 2023-01-16: NA. 2023-01-09: NA. 2023-01-02: NA. 2022-12-26: NA. 2022-12-19: NA.;"
"March 2023",184620.5,262756.3,-78135.8,"2023-03-01","2023-03-01","2023-03-31",-116661.7,0.0,-100455.8,22918.603570462143,-87179.56666666667,28131.944642582628,-80125.09999999999,26956.74694864596,-75784.81999999999,25282.203363868422,-72835.53333333333,23739.03107960952,-69984.49999999999,22945.95246748324,-116661.7,0.0,"Available facts are as follows: 2023-02-20: NA. 2023-02-13: NA.;","Available facts are as follows: 2023-02-20: As of February 2023, the United States is experiencing influenza activity, with a focus on influenza A virus infection. [Source: www.cdc.gov]; A study used a deterministic mathematical model to simulate disease transmission and infection progression to evaluate the potential impacts of a preferential vaccine allocation strategy on influenza burden in the United States. [Source: www.ncbi.nlm.nih.gov]; Research has been conducted on the severity of influenza A virus infection in relation to electronic cigarette exposure, with affiliations including the Department of Medicine, National Jewish Health, and the School of Public Health. [Source: pubmed.ncbi.nlm.nih.gov]; The FDA has authorized the first over-the-counter at-home test to detect both influenza A, influenza B, and COVID-19. [Source: www.fda.gov]; Blood inflammatory biomarkers have been found to differentiate inpatient and outpatient influenza infection. [Source: pubmed.ncbi.nlm.nih.gov] 2023-02-13: The United States is experiencing an outbreak of highly pathogenic avian influenza A(H5N1) viruses, with 58 million poultry birds in 47 states either dying from the disease or being culled due to exposure. [Source: ysph.yale.edu]; The CDC estimates that 70–85% of influenza-related deaths and 50–70% of influenza-related hospitalizations occur in adults aged ≥ 65. [Source: www.ncbi.nlm.nih.gov]; The CDC produces estimates of the burden of influenza and the impact of annual flu vaccination in the United States using a model. [Source: www.cdc.gov] 2023-02-06: The CDC reports that most of the reported pediatric flu deaths (103) were associated with influenza A virus infections, and of the 59 influenza A viruses that were subtyped, 83% were A(H3N2). [Source]; From 1 January 2017 to 31 December 2020, there were 1,034,538 hospitalizations in the United States for influenza virus infection. [Source]; The 10 years between the last influenza pandemic and the start of the severe acute respiratory syndrome coronavirus 2 pandemic have been marked by great variability in influenza season severity and impact. [Source] 2023-01-30: Objective facts about the Pulic Health and FLU situation:In the United States, there have been cases of influenza, co-infections, and avian influenza outbreaks, with over 60 million birds affected or killed. [Source: netec.org]Influenza infection was asymptomatic in 6.6% of cases in a household-based study. [Source: www.ncbi.nlm.nih.gov]Influenza places a significant disease burden on the United States. [Source: www.cdc.gov];","Available facts are as follows: 2023-02-20: NA. 2023-02-13: NA. 2023-02-06: NA. 2023-01-30: NA. 2023-01-23: NA. 2023-01-16: NA.;"
"April 2023",162063.7,250751.8,-88688.2,"2023-04-01","2023-04-01","2023-04-30",-99642.9,0.0,-91039.75,12166.691409130084,-84327.46666666666,14463.00219744619,-81661.8,12956.674090470387,-78700.24,13029.22640769589,-75907.35,13513.326753209216,-72956.50000000001,14598.890711511838,-99642.9,0.0,"Available facts are as follows: 2023-03-20: NA. 2023-03-13: NA.;","Available facts are as follows: 2023-03-20: The United States has been experiencing a co-infection of Sars-cov-2 with influenza viruses, respiratory syncytial virus, or other viruses. [Source: www.nature.com]; Highly pathogenic avian influenza H5N1 virus (HPAIv) has been present in North America since its first detection in wild birds in November 2021. [Source: www.usgs.gov]; Influenza D Virus Infection has been detected in feral swine populations in the United States. [Source: www.ncbi.nlm.nih.gov] 2023-03-13: Active monitoring of persons exposed to HPAI A(H5N1) virus is ongoing in the United States, although few human cases have occurred recently. [Source: www.cdc.gov]; Highly Pathogenic Avian Influenza A(H5N1) Virus Outbreak has been reported in New England Seals in the United States. [Source: wwwnc.cdc.gov]; On average, 8.3% of the United States population experiences influenza infections each year. [Source: www.ncbi.nlm.nih.gov]; Influenza in swine is an acute viral infection of the respiratory tract in pigs caused by type A influenza viruses. [Source: www.ecdc.europa.eu] 2023-03-06: The current influenza season in the United States is still active, with the CDC reporting ongoing influenza-like illness (ILI) activity and hospitalizations. [Source: www.cdc.gov] 2023-02-27: No instances of human-to-human transmission of avian influenza A viruses have been reported in the United States. [Source: www.cdc.gov];","Available facts are as follows: 2023-03-20: NA. 2023-03-13: NA. 2023-03-06: NA. 2023-02-27: NA. 2023-02-20: NA. 2023-02-13: NA.;"
"May 2023",167127.6,264348.9,-97221.4,"2023-05-01","2023-05-01","2023-05-31",-106340.7,0.0,-95465.45,15379.926044198002,-87799.40000000001,17163.217366507946,-85268.65,14899.758471084911,-82314.7,14495.903037927646,-80670.55,13576.610005557352,-78257.32857142857,13941.631169954526,-106340.7,0.0,"Available facts are as follows: 2023-04-24: NA. 2023-04-17: NA.;","Available facts are as follows: 2023-04-24: During February 7-September 3, 2022, a total of 39 US states experienced outbreaks of highly pathogenic avian influenza A(H5N1) virus in birds from commercial and backyard flocks. [Source: wwwnc.cdc.gov]; Researchers from the CDC reported on the recent outbreak of the highly pathogenic avian influenza (HPAI) virus among domesticated and wild birds in 39 U.S. states. [Source: www.news-medical.net]; The U.S. Department of Agriculture (USDA) is tracking cases of highly pathogenic avian influenza (HPAI) infection in mammals to better understand a virus that has affected birds and some mammals. [Source: www.avma.org] 2023-04-17: Objective facts about the Pulic Health and FLU situation:Influenza vaccine effectiveness against influenza A(H3N2) has been studied and published by Oxford University Press on behalf of Infectious Diseases Society of America in 2022. [Source]A human infection with highly pathogenic avian influenza A(H5N1) was reported in Chile. [Source]The U.S. global health budget includes funding for neglected tropical diseases (NTDs), which are a group of parasitic, bacterial, and viral infectious diseases. [Source] 2023-04-10: The United States has reported influenza activity, with vaccination status playing a crucial role in preventing influenza infection [Source: academic.oup.com].; H3N8 bird flu has never been detected in people in the United States, but H3N8 viruses have been detected in U.S. wild birds [Source: www.cdc.gov].; There has been a spillover of highly pathogenic avian influenza A(H5N1) into marine mammals in the northeastern United States [Source: pubmed.ncbi.nlm.nih.gov].; Two different strains of influenza Type A virus, H3N8 and H3N2, are currently circulating in dog populations in the United States [Source: www.bah.state.mn.us]. 2023-04-03: The United States has reported cases of human infection with avian influenza A(H5N1) virus. [Source: www.foodsafetynews.com]; Genome graphs can detect human polymorphisms in active epigenomic state during influenza infection. [Source: pubmed.ncbi.nlm.nih.gov]; Seasonal RSV epidemics in the United States are defined as the weeks during which the percentage of PCR test results that were positive for RSV is ≥3%. [Source: www.cdc.gov]; Cardiac Arrest Due to Brugada Syndrome can be associated with influenza virus A infection. [Source: www.ncbi.nlm.nih.gov]; The risk of death in patients hospitalized for COVID-19 is higher compared to those hospitalized for seasonal influenza in the US. [Source: jamanetwork.com];","Available facts are as follows: 2023-04-24: NA. 2023-04-17: NA. 2023-04-10: NA. 2023-04-03: NA. 2023-03-27: NA. 2023-03-20: NA.;"
"June 2023",167303.0,257886.6,-90583.6,"2023-06-01","2023-06-01","2023-06-30",-103622.3,0.0,-98941.85,6619.155868009159,-90633.13333333336,15133.107088213355,-85036.725,16671.92545456283,-81180.2,16817.51316782597,-78560.7,16353.399671627914,-76400.71428571429,15984.998238497305,-103622.3,0.0,"Available facts are as follows: 2023-05-22: NA. 2023-05-15: NA.;","Available facts are as follows: 2023-05-22: Risk factors for infection with influenza A (H3N2) virus include exposure to persons who are ill and living in congregate settings, similar to those for COVID-19. [Source: www.ncbi.nlm.nih.gov]; In the United States, human infections with influenza virus A(H1N1) were reported in 2022. [Source: www.ecdc.europa.eu]; Annual estimates of the burden of seasonal influenza in the United States are available to strengthen influenza surveillance and preparedness. [Source: onlinelibrary.wiley.com] 2023-05-15: The CDC recommends vaccines for adults to prevent infectious diseases like influenza and COVID-19. [Source: www.cdc.gov]; Influenza A viruses have been circulating in the United States from 2010 to 2016. [Source: www.ncbi.nlm.nih.gov]; Seasonal influenza kills thousands of people in the United States each year. [Source: www.nih.gov]; Outbreaks of avian influenza caused by HPAI A(H5N1) viruses have been detected in several countries, including the United States. [Source: www.paho.org] 2023-05-08: The Centers for Disease Control and Prevention (CDC) reported cases of A(H7N2) in humans exposed to infected cats in New York in 2016. [Source]; Antigen tests are commonly used in the diagnosis of respiratory pathogens, including influenza viruses and respiratory syncytial virus (RSV). [Source]; Estimating county-level flu vaccination in the United States is crucial, and studies have been conducted to understand vaccine hesitancy. [Source]; Influenza A viruses have been found in gulls in landfills and freshwater habitats in the United States. [Source]; The FDA has issued Emergency Use Authorization for Ebola virus disease (EVD) and CDC Human Influenza Virus. [Source]; Identification and genome sequencing of an influenza H3N2 variant have been conducted. [Source]; Respiratory surveillance is conducted to monitor rates and identify outbreaks, including febrile respiratory illness (FRI) disease surveillance. [Source]; The economic burden of respiratory syncytial virus infection in adults is significant, with costs estimated in the United States. [Source] 2023-05-01: There is no evidence of the influence of influenza on triple infection with SARS-CoV-2, RSV, and influenza. [Source]; The FDA has approved the first RSV vaccine, Arexvy, for the prevention of lower respiratory tract disease in the US. [Source]; Equine influenza virus (EIV) H3N8 spread to dogs in the United States in the late 1990s and adapted to become a canine influenza virus. [Source]; Native Americans have higher rates of influenza-associated hospitalization than the US White population. [Source];","Available facts are as follows: 2023-05-22: NA. 2023-05-15: NA. 2023-05-08: NA. 2023-05-01: NA. 2023-04-24: NA. 2023-04-17: NA.;"
"July 2023",159618.9,255665.9,-96047.1,"2023-07-01","2023-07-01","2023-07-31",-95010.6,0.0,-94019.1,1402.1927470929238,-91554.13333333336,4383.06448199583,-89884.40000000001,4894.848358563662,-88516.72,5227.083149520394,-85356.06666666667,9044.130448123064,-82587.25714285715,11037.559643758392,-95010.6,0.0,"Available facts are as follows: 2023-06-19: NA. 2023-06-12: NA.;","Available facts are as follows: 2023-06-19: The CDC is tracking ongoing flu activity in the Southern Hemisphere to prepare for potential scenarios in the United States. [Source: www.cdc.gov]; There has been a fatal variant flu case in Brazil, but the CDC does not think it poses a risk to the U.S. public. [Source: www.cdc.gov]; The CDC provides information on zoonotic influenza, including the epidemiology of human infections with H5N1 viruses and other avian influenza A viruses. [Source: emergency.cdc.gov] 2023-06-12: The last flu pandemic occurred in 2009 when a novel influenza A (H1N1) virus emerged. [Source: www.cdc.gov]; In 2022, a total of 39 US states experienced outbreaks of highly pathogenic avian influenza A(H5N1) virus in birds. [Source: pubmed.ncbi.nlm.nih.gov]; Influenza and SARS-CoV-2 co-infection in the hospitalized US pediatric population showed similarly low rates during the 2021-2022 influenza season. [Source: www.ncbi.nlm.nih.gov]; The first human infection caused by an influenza A(H1N1)v virus was reported in 2023 in Brazil. [Source: www.who.int]; Human infections of emerging swine influenza viruses are most frequently reported in the United States. [Source: wwwnc.cdc.gov] 2023-06-05: Objective facts about the Pulic Health and FLU situation:The US Hospitalized Adult Influenza Vaccine Effectiveness Network (2016-2019) provides data on influenza vaccine effectiveness. [Source: pubmed.ncbi.nlm.nih.gov]In the US, human infections of emerging swine influenza viruses are nationally notifiable. [Source: www.ncbi.nlm.nih.gov]Seven human infections caused by influenza A(H5N8) virus were reported in the US during an influenza outbreak in 2015. [Source: wwwnc.cdc.gov] 2023-05-29: Fluzone High-Dose Quadrivalent vaccine is approved only for people 65 years and older in the United States. [Source: www.cdc.gov]; In the United States, on average 5% to 20% of the population gets the flu and more than 200,000 people are hospitalized each year. [Source: www.in.gov]; Human infections with variant influenza viruses occur in people with exposure to infected animals, and most cases are detected in the United States. [Source: www.cdc.gov];","Available facts are as follows: 2023-06-19: NA. 2023-06-12: NA. 2023-06-05: NA. 2023-05-29: NA. 2023-05-22: NA. 2023-05-15: NA.;"
