"date","start_date","end_date","OT","prior_history_avg","prior_history_std","fact","preds"
"1950-01-01","1950-01-01","1950-01-31",7.6,4.5,0.7071067811865476,"2008-10-27: Traffic volumes and freight movements are projected to continue growing, leading to increased congestion and extended travel times.; 2008-11-03: Objective facts about the Traffic and Transportation situation: The US 93 Corridor Study reported 500 and 2,100 vehicles during the AM peak hour traffic volumes in 2007.  The Allegheny County Subdivision and Land Development Ordinance uses trip generation rates published in the most recent edition of the Institute of Traffic Engineers (ITE) to calculate traffic volumes.  The Economic Development History of Interstate 81 in Virginia reports high traffic counts in certain segments.; 2008-11-10: The estimated cost of freight involved in highway bottlenecks is a significant concern, with HPMS-derived AADTs and FAF2 truck volumes being used to identify traffic data.; 2008-11-17: The U.S. Department of Transportation identifies thresholds of traffic volumes, speeds, and curb lanes where less experienced bicyclists begin to feel uncomfortable.; 2008-11-24: In 2008, traffic volume in northeast Florida decreased by about 5 percent on most state roads.",""
"1950-02-01","1950-02-01","1950-02-28",7.9,5.25,0.7778174593052021,"1986-09-01: Objective facts about the Traffic and Transportation situation: In 1986, there was a growing concern about urban transport in Less Developed Countries (LDCs), with increasing commercial and industrial activity leading to increased volumes of service vehicles and freight.; 1986-09-08: According to the zoning ordinance in LaSalle Township, Michigan, developments should be designed with appropriate width to accommodate the volume of traffic they generate.; 1986-09-15: The Federal Aviation Administration (FAA) has resources related to aircraft and air traffic control.; 1986-09-22: NA (no relevant information found)",""
"1950-03-01","1950-03-01","1950-03-31",7.1,5.05,0.7778174593052021,"1993-06-28: The volume and speed of traffic in cities pose a threat.; 1993-07-05: The introduction of a 9m or greater roadside safety recovery zone corridor in the United States permits 80% of run-off-road crashes to be contained without breaching the roadside barrier.; 1993-07-12: The crash testing and evaluation of a low-speed W-BEAM guardrail was conducted in 1993, considering factors such as impact conditions for collisions with longitudinal barriers on rural roadways with low traffic volume and low operating speed.; 1993-07-19: The United Nations Convention against Illicit Traffic in Narcotic Drugs was mentioned in the Yearbook of the International Law Commission 1993 Volume II Part.",""
"1950-04-01","1950-04-01","1950-04-30",6.0,4.7,0.9899494936611668,"1985-11-25: The volume of data in computing is equal to the bandwidth times the latency.; 1985-12-02: There was a report on airline ticket fraud involving travel agencies in 1985.; 1985-12-09: The number of vehicles using a road or element of an interchange in the design year is estimated as an hourly volume, known as the Design Traffic Volume.; 1985-12-16: There is no objective information about the current Traffic and Transportation situation in the provided search results.; 1985-12-23: Objective facts about the Traffic and Transportation situation:  There is no relevant information about Traffic and Transportation in the provided search results.",""
"1950-05-01","1950-05-01","1950-05-31",5.3,4.55,1.6263455967290594,"1982-05-31: The California Association for Traffic Safety had a president, Ford, who served a term of office.; 1982-06-07: The authors of a study on reaction time of drivers to road stimuli acknowledged the helpful discussions held with representatives of the Office of Road Safety and the Road Safety and Traffic Authority of the State.; 1982-06-14: The volume of highway travel in the United States was 1.4 trillion vehicle miles in 1982, with trucks accounting for 22.3% of that volume.; 1982-06-21: There is no relevant information about traffic and transportation in the provided search results. The search results appear to be unrelated to traffic and transportation, and instead cover a range of topics such as history, philosophy, religion, politics, and more.",""
"1950-06-01","1950-06-01","1950-06-30",5.6,5.15,1.767766952966369,"1993-11-29: There are no objective facts about the current Traffic and Transportation situation in the provided search results. The search results appear to be unrelated to Traffic and Transportation, with topics ranging from railroad administration to African-American bibliography to cocaine cartels.; 1993-12-06: The volume of vehicles on roads affects traffic congestion.; 1993-12-13: The United States Department of Transportation reported that there were harsher alcohol-related traffic statistics in 1993.; 1993-12-20: The United States Holocaust Memorial Museum has a problem with a relentless flood of visitors, leading to adjustments to ensure better traffic flow.",""
"1950-07-01","1950-07-01","1950-07-31",5.3,5.45,2.192031021678297,"2003-06-30: Traffic volumes must be based on trip generation, and the State Traffic Engineer is responsible for existing locations or the State.; 2003-07-07: The Average Daily Traffic (ADT) volume on Fairmount Avenue in May and June 2003 was measured and observed by staff.; 2003-07-14: The U.S. Department of Agriculture (USDA) and U.S. Agency for International Development (USAID) are involved in low-volume roads engineering projects.; 2003-07-21: The Federal Register announced the requirement for advance electronic presentation of traffic data for vehicles entering the United States.",""
"1950-08-01","1950-08-01","1950-08-31",4.1,4.95,1.909188309203678,"1987-07-27: The DoD Official Mail Manual (1987) mentions the use of surface transportation in the United States and air transportation for moving mail.; 1987-08-03: There is an executive order related to traffic adjudication service, indicating a focus on traffic management in the United States.; 1987-08-10: The road at Cumberland Gap saw an increasing volume of traffic in 1987.; 1987-08-17: The road network in Guinea carries a massive volume of traffic.; 1987-08-24: There was a hazardous waste incident in Maryland on August 27, 1987.",""
"1950-09-01","1950-09-01","1950-09-30",4.0,4.65,1.767766952966369,"2023-09-25: Global passenger traffic is expected to recover by 2024 and reach 9.4 billion passengers, with a current projection of 8.6 billion passengers in 2023, which is 94.2% of the 2019 level.; 2023-10-02: Motor vehicle travel is a major means of transportation in the United States, providing an unparalleled degree of mobility.; 2023-10-09: The Federal Highway Administration (FHWA) provides guidance on travel monitoring and traffic volume, and maintains a system of traffic count stations to monitor traffic volumes.; 2023-10-16: The U.S. Department of Transportation's Bureau of Transportation Statistics provides data on transportation statistics.; 2023-10-23: Traffic crashes are a leading cause of death for teenagers in America.",""
"1950-10-01","1950-10-01","1950-10-31",3.3,4.5,2.262741699796952,"1980-10-27: The Road Traffic Act is mentioned in the Government Gazette, indicating that there are regulations in place for road traffic.; 1980-11-10: Response time in evacuation is a function of the volume of traffic and the capacity of the roadway.; 1980-11-17: The Arc de Triomphe in Paris, France is located in the middle of a traffic circle.; 1980-11-24: The provided search results do not contain any relevant objective facts about the current Traffic and Transportation situation.",""
