"date","start_date","end_date","OT","prior_history_avg","prior_history_std","fact","preds"
"1950-01-01","1950-01-01","1950-01-31",7.6,0.0,0.7071067811865476,"null",""
"1950-02-01","1950-02-01","1950-02-28",7.9,0.0,0.7778174593052021,"null",""
"1950-03-01","1950-03-01","1950-03-31",7.1,0.0,0.7778174593052021,"null",""
"1950-04-01","1950-04-01","1950-04-30",6.0,0.0,0.9899494936611668,"null",""
"1950-05-01","1950-05-01","1950-05-31",5.3,0.0,1.6263455967290594,"null",""
"1950-06-01","1950-06-01","1950-06-30",5.6,0.0,1.767766952966369,"null",""
"1950-07-01","1950-07-01","1950-07-31",5.3,0.0,2.192031021678297,"null",""
"1950-08-01","1950-08-01","1950-08-31",4.1,0.0,1.909188309203678,"null",""
"1950-09-01","1950-09-01","1950-09-30",4.0,0.0,1.767766952966369,"null",""
"1950-10-01","1950-10-01","1950-10-31",3.3,0.0,2.262741699796952,"null",""
"1950-11-01","1950-11-01","1950-11-30",3.8,0.0,1.6970562748477145,"null",""
"1950-12-01","1950-12-01","1950-12-31",3.9,0.0,1.697056274847714,"null",""
"1951-01-01","1951-01-01","1951-01-31",4.4,0.0,1.8384776310850235,"null",""
"1951-02-01","1951-02-01","1951-02-28",4.2,0.0,1.4849242404917502,"null",""
"1951-03-01","1951-03-01","1951-03-31",3.8,0.0,1.0606601717798212,"null",""
"1951-04-01","1951-04-01","1951-04-30",3.2,0.0,0.4242640687119283,"null",""
"1951-05-01","1951-05-01","1951-05-31",2.9,0.0,0.2828427124746193,"null",""
"1951-06-01","1951-06-01","1951-06-30",3.4,0.0,0.5656854249492386,"null",""
"1951-07-01","1951-07-01","1951-07-31",3.3,0.0,1.2020815280171309,"null",""
"1951-08-01","1951-08-01","1951-08-31",2.9,0.0,1.5556349186104046,"null",""
"1951-09-01","1951-09-01","1951-09-30",3.0,0.0,1.3435028842544403,"null",""
"1951-10-01","1951-10-01","1951-10-31",2.8,0.0,1.979898987322333,"null",""
"1951-11-01","1951-11-01","1951-11-30",3.2,0.0,1.3435028842544403,"null",""
"1951-12-01","1951-12-01","1951-12-31",2.9,0.0,1.4849242404917498,"null",""
"1952-01-01","1952-01-01","1952-01-31",3.7,0.0,2.262741699796952,"null",""
"1952-02-01","1952-02-01","1952-02-29",3.8,0.0,2.616295090390226,"null",""
"1952-03-01","1952-03-01","1952-03-31",3.3,0.0,2.3334523779156067,"null",""
"1952-04-01","1952-04-01","1952-04-30",3.0,0.0,1.979898987322333,"null",""
