model,backbone,condition,mse_mean,mse_std,n_cells
aurora,default,C10_empty_keep_priors,8.554897212319904,22.843726054754555,108
aurora,default,C11_constant_keep_priors,8.55548635314874,22.835542081305483,108
aurora,default,C1_original,8.552879142212785,22.83683411678355,108
aurora,default,C2_empty,8.554897212319904,22.843726054754555,108
aurora,default,C3_shuffled,8.553203240778574,22.83749743583745,108
aurora,default,C4_crossdomain,8.552372352202871,22.833978869560756,108
aurora,default,C5_constant,8.55548635314874,22.835542081305483,108
aurora,default,C6_unimodal,8.552879142212785,22.83683411678355,108
aurora,default,C8_oracle,8.554927944930064,22.835823908386523,108
aurora,default,C9_zero_priors,8.552879142212785,22.83683411678355,108
mmtsflib,DLinear,C10_empty_keep_priors,12.755245057141614,34.33087833514349,108
mmtsflib,DLinear,C11_constant_keep_priors,12.755174823415777,34.3308540684574,108
mmtsflib,DLinear,C1_original,12.754585671066135,34.330881671176435,108
mmtsflib,DLinear,C2_empty,13.052020527870843,34.478833559420295,108
mmtsflib,DLinear,C3_shuffled,12.755300191127592,34.33090281806903,108
mmtsflib,DLinear,C4_crossdomain,12.7553395965585,34.33082795986178,108
mmtsflib,DLinear,C5_constant,13.051721574152234,34.47887604597685,108
mmtsflib,DLinear,C6_unimodal,13.08591472323018,35.07041710450178,108
mmtsflib,DLinear,C8_oracle,12.75560113435818,34.33080259148821,108
mmtsflib,DLinear,C9_zero_priors,13.052173671450603,34.47866827957444,108
mmtsflib,Informer,C10_empty_keep_priors,15.081980514857504,40.7586176477956,108
mmtsflib,Informer,C11_constant_keep_priors,15.078241015198055,40.75351075599909,108
mmtsflib,Informer,C1_original,15.064859812734303,40.743964854996456,108
mmtsflib,Informer,C2_empty,15.269029286172655,41.18538349439859,108
mmtsflib,Informer,C3_shuffled,15.082408697654804,40.78260745236365,108
mmtsflib,Informer,C4_crossdomain,15.074640987785878,40.78030516108707,108
mmtsflib,Informer,C5_constant,15.275689740975698,41.19168291203291,108
mmtsflib,Informer,C6_unimodal,15.265919872042206,41.17582995481226,108
mmtsflib,Informer,C7_null,0.8888528413242764,0.31179453948941965,9
mmtsflib,Informer,C8_oracle,15.086933713682273,40.765696365859135,108
mmtsflib,Informer,C9_zero_priors,15.263220869004726,41.19459945843449,108
mmtsflib,iTransformer,C10_empty_keep_priors,13.565684935854128,36.81130699263688,108
mmtsflib,iTransformer,C11_constant_keep_priors,13.567574926789987,36.81288578094942,108
mmtsflib,iTransformer,C1_original,13.564963404089212,36.79437834184276,108
mmtsflib,iTransformer,C2_empty,14.084210946673045,37.82913436252875,108
mmtsflib,iTransformer,C3_shuffled,13.55795050593507,36.78662111879859,108
mmtsflib,iTransformer,C4_crossdomain,13.552885811931143,36.7695526259956,108
mmtsflib,iTransformer,C5_constant,14.084999772737286,37.83052809453031,108
mmtsflib,iTransformer,C6_unimodal,13.762075604724318,37.27641903345098,108
mmtsflib,iTransformer,C8_oracle,13.565697286243516,36.78572816299514,108
mmtsflib,iTransformer,C9_zero_priors,14.080271596347707,37.82128804208544,108
tats,DLinear,C10_empty_keep_priors,12.420795699046856,33.584500402924085,108
tats,DLinear,C11_constant_keep_priors,12.420795699046856,33.584500402924085,108
tats,DLinear,C1_original,12.420795699046856,33.584500402924085,108
tats,DLinear,C2_empty,18.578064567099016,35.055900611258664,108
tats,DLinear,C3_shuffled,12.420795699046856,33.584500402924085,108
tats,DLinear,C4_crossdomain,12.420795699046856,33.584500402924085,108
tats,DLinear,C5_constant,18.578064567099016,35.055900611258664,108
tats,DLinear,C6_unimodal,13.164930261602557,35.221592153729034,108
tats,DLinear,C8_oracle,12.420795699046856,33.584500402924085,108
tats,DLinear,C9_zero_priors,18.578064567099016,35.055900611258664,108
tats,Informer,C10_empty_keep_priors,14.190606793595684,38.772596185924854,108
tats,Informer,C11_constant_keep_priors,14.191759631175685,38.7738734283005,108
tats,Informer,C1_original,14.191713330370408,38.77449621822556,108
tats,Informer,C2_empty,15.262107750331914,41.11679313705859,108
tats,Informer,C3_shuffled,14.191394090790439,38.77283868525788,108
tats,Informer,C4_crossdomain,14.191857706203505,38.77408977777802,108
tats,Informer,C5_constant,15.261963965026316,41.11387976324633,108
tats,Informer,C6_unimodal,15.380515991813606,41.41665914107715,108
tats,Informer,C8_oracle,14.19143643271592,38.77353031331487,108
tats,Informer,C9_zero_priors,15.261774830796101,41.11447223631332,108
tats,iTransformer,C10_empty_keep_priors,13.308025393764385,36.3217677387216,108
tats,iTransformer,C11_constant_keep_priors,13.308025393764385,36.3217677387216,108
tats,iTransformer,C1_original,13.308025393764385,36.3217677387216,108
tats,iTransformer,C2_empty,18.41568241875481,40.474242383105754,108
tats,iTransformer,C3_shuffled,13.308025393764385,36.3217677387216,108
tats,iTransformer,C4_crossdomain,13.308025393764385,36.3217677387216,108
tats,iTransformer,C5_constant,18.41568241875481,40.474242383105754,108
tats,iTransformer,C6_unimodal,13.467170992072809,36.52910462415922,108
tats,iTransformer,C8_oracle,13.308025393764385,36.3217677387216,108
tats,iTransformer,C9_zero_priors,18.41568241875481,40.474242383105754,108
