model,domain,pred_len,mse,prior_only_mse,model_minus_prior,model_pct_of_prior
aurora,Agriculture,6,0.1812156091133753,0.5556048376889382,-0.3743892285755629,32.61591635291538
aurora,Agriculture,8,0.2391236325105031,0.5655601860036422,-0.32643655349313916,42.28084621730483
aurora,Agriculture,10,0.30755509932835895,0.5760049185905548,-0.26844981926219585,53.39452657469064
aurora,Agriculture,12,0.372310866912206,0.5868191820675016,-0.21450831515529561,63.445585674358405
aurora,Climate,6,0.8580197691917419,0.9108848612533406,-0.05286509206159862,94.19629260400065
aurora,Climate,8,0.8628936012585958,0.9133376292566884,-0.050444027998092555,94.47695721907944
aurora,Climate,10,0.865082303682963,0.9172389267530108,-0.05215662307004776,94.31373641601975
aurora,Climate,12,0.8732882936795553,0.9252398739275982,-0.05195158024804292,94.38506902782832
aurora,Economy,6,0.0359841274718443,0.0186513851955098,0.0173327422763345,192.93005369117168
aurora,Economy,8,0.033490868906180034,0.018877965301247,0.014612903604933034,177.40719601792978
aurora,Economy,10,0.0311336598048607,0.0191395280466215,0.011994131758239199,162.66681043034598
aurora,Economy,12,0.03232485925157863,0.0194264788114505,0.01289838044012813,166.3958742359705
aurora,Energy,12,0.11931762595971424,0.5858402571543262,-0.46652263119461196,20.366921614313497
aurora,Energy,24,0.22513354321320853,0.6091646548060489,-0.3840311115928403,36.957748851152324
aurora,Energy,36,0.2912211815516154,0.6345328961781975,-0.3433117146265821,45.89536386618339
aurora,Energy,48,0.3836613595485687,0.6617013133794936,-0.27803995383092484,57.981048517057175
aurora,Environment,48,0.2804386417071025,0.3039389005165406,-0.023500258809438124,92.26809770993457
aurora,Environment,96,0.2844359676043193,0.3028227996022656,-0.01838683199794633,93.92818769851675
aurora,Environment,192,0.2702902456124623,0.2895009752475019,-0.019210729635039614,93.3641917376562
aurora,Environment,336,0.26904967427253723,0.2851369255484234,-0.016087251275886172,94.35806104560311
aurora,Health,12,1.0923165877660115,1.4632463716419402,-0.3709297838759287,74.65021673283219
aurora,Health,24,1.5687598784764607,1.4417177722556267,0.127042106220834,108.8118568464389
aurora,Health,36,1.690741777420044,1.4414116535079669,0.2493301239120771,117.29763480857684
aurora,Health,48,1.8583023150761921,1.476177449386508,0.38212486568968407,125.88610643310486
aurora,Security,6,67.40186818440755,76.17999514726618,-8.778126962858636,88.47712323177583
aurora,Security,8,70.76546223958333,78.88526971826147,-8.11980747867814,89.7068140760905
aurora,Security,10,74.94325256347656,81.64902482669224,-6.705772263215678,91.78707611334083
aurora,Security,12,77.77908833821614,84.58701928303142,-6.807930944815283,91.95156537903803
aurora,SocialGood,6,0.7042396267255148,1.5523435656988736,-0.8481039389733588,45.36622190387746
aurora,SocialGood,8,0.8034006158510844,1.5355453772518135,-0.7321447614007291,52.32021324494763
aurora,SocialGood,10,0.8834358056386312,1.522241700067498,-0.6388058944288667,58.035186238785776
aurora,SocialGood,12,0.9523283640543619,1.5129605098427437,-0.5606321457883817,62.94469405241426
aurora,Traffic,6,0.15452562272548673,0.1718108166918868,-0.017285193966400075,89.93940294376337
aurora,Traffic,8,0.15860671301682785,0.1747466698953233,-0.016139956878495454,90.76379716525437
aurora,Traffic,10,0.16286334395408628,0.1776966331124096,-0.014833289158323326,91.65246470993071
aurora,Traffic,12,0.1684862126906712,0.1807379686494341,-0.012251755958762878,93.22126056283899
mmtsflib,Agriculture,6,0.14747714127103484,0.5556048376889382,-0.40812769641790336,26.54353080949983
mmtsflib,Agriculture,8,0.21697260025474757,0.5655601860036422,-0.34858758574889465,38.36419281702235
mmtsflib,Agriculture,10,0.25817989061276114,0.5760049185905548,-0.31782502797779366,44.82251492652353
mmtsflib,Agriculture,12,0.30098522785637116,0.5868191820675016,-0.28583395421113045,51.29096611939807
mmtsflib,Climate,6,1.1281151904000177,0.9108848612533406,0.21723032914667717,123.84827527463538
mmtsflib,Climate,8,1.159549077351888,0.9133376292566884,0.24621144809519957,126.95733102506426
mmtsflib,Climate,10,1.1787242227130466,0.9172389267530108,0.2614852959600358,128.507871649722
mmtsflib,Climate,12,1.1841425100962322,0.9252398739275982,0.25890263616863396,127.98221774312482
mmtsflib,Economy,6,0.306238360909952,0.0186513851955098,0.2875869757144422,1641.9067951246693
mmtsflib,Economy,8,0.31535425368282527,0.018877965301247,0.29647628838157825,1670.4885757046832
mmtsflib,Economy,10,0.3809379359914196,0.0191395280466215,0.3617984079447981,1990.3204251614895
mmtsflib,Economy,12,0.43421849173804117,0.0194264788114505,0.4147920129265907,2235.1888674858606
mmtsflib,Energy,12,0.20519828134112883,0.5858402571543262,-0.38064197581319736,35.02631968957948
mmtsflib,Energy,24,0.31213226417700446,0.6091646548060489,-0.2970323906290444,51.23939179898477
mmtsflib,Energy,36,0.38684659202893573,0.6345328961781975,-0.2476863041492618,60.965569217753625
mmtsflib,Energy,48,0.475311021010081,0.6617013133794936,-0.18639029236941257,71.83165748644728
mmtsflib,Environment,48,0.45117954744233024,0.3039389005165406,0.14724064692578964,148.4441598872523
mmtsflib,Environment,96,0.4856042332119412,0.3028227996022656,0.18278143360967558,160.3592047394532
mmtsflib,Environment,192,0.5019038220246633,0.2895009752475019,0.21240284677716142,173.36861183129787
mmtsflib,Environment,336,0.4712648457951016,0.2851369255484234,0.18612792024667818,165.27668062938028
mmtsflib,Health,12,1.2346560557683308,1.4632463716419402,-0.22859031587360934,84.37786552533166
mmtsflib,Health,24,1.53705718782213,1.4417177722556267,0.09533941556650327,106.61290423141145
mmtsflib,Health,36,1.6943341493606567,1.4414116535079669,0.2529224958526899,117.5468607623056
mmtsflib,Health,48,1.8324278857972887,1.476177449386508,0.3562504364107806,124.1333070464419
mmtsflib,Security,6,115.75479380289714,76.17999514726618,39.57479865563096,151.94906954132452
mmtsflib,Security,8,118.06214735243056,78.88526971826147,39.17687763416909,149.66310918893882
mmtsflib,Security,10,120.17720709906683,81.64902482669224,38.52818227237459,147.1875596238342
mmtsflib,Security,12,120.9235127766927,84.58701928303142,36.33649349366128,142.95752918314568
mmtsflib,SocialGood,6,0.9207854072252909,1.5523435656988736,-0.6315581584735827,59.31582592740985
mmtsflib,SocialGood,8,1.05750439564387,1.5355453772518135,-0.4780409816079434,68.8683259583315
mmtsflib,SocialGood,10,1.066488848792182,1.522241700067498,-0.45575285127531595,70.06041476494124
mmtsflib,SocialGood,12,1.1156509915987651,1.5129605098427437,-0.39730951824397853,73.73959758637226
mmtsflib,Traffic,6,0.22129652731948427,0.1718108166918868,0.04948571062759746,128.80244188370372
mmtsflib,Traffic,8,0.22680493526988554,0.1747466698953233,0.052058265374562235,129.79070525678466
mmtsflib,Traffic,10,0.22215841876135928,0.1776966331124096,0.044461785648949675,125.0211750612199
mmtsflib,Traffic,12,0.2657453103197945,0.1807379686494341,0.08500734167036039,147.03347188506012
tats,Agriculture,6,0.11138159781694407,0.5556048376889382,-0.44422323987199414,20.046909289026445
tats,Agriculture,8,0.13429621938202113,0.5655601860036422,-0.4312639666216211,23.745698991116086
tats,Agriculture,10,0.18328123291333515,0.5760049185905548,-0.39272368567721966,31.819386779163615
tats,Agriculture,12,0.22016094293859267,0.5868191820675016,-0.36665823912890894,37.51768000543439
tats,Climate,6,0.9413966536521912,0.9108848612533406,0.0305117923988506,103.34968706767917
tats,Climate,8,0.964397668838501,0.9133376292566884,0.0510600395818126,105.59048898744787
tats,Climate,10,0.9813733829392327,0.9172389267530108,0.06413445618622193,106.99212106198495
tats,Climate,12,0.9830949240260654,0.9252398739275982,0.05785505009846714,106.25297846847816
tats,Economy,6,0.1018570819869637,0.0186513851955098,0.0832056967914539,546.1100123088185
tats,Economy,8,0.11971154053592017,0.018877965301247,0.10083357523467318,634.1337036360192
tats,Economy,10,0.13696501207434464,0.0191395280466215,0.11782548402772314,715.6133199351361
tats,Economy,12,0.1472511113517814,0.0194264788114505,0.12782463254033088,757.9917739131785
tats,Energy,12,0.2683656099769804,0.5858402571543262,-0.3174746471773458,45.80866656049648
tats,Energy,24,0.35669579936398393,0.6091646548060489,-0.25246885544206493,58.55490737189141
tats,Energy,36,0.41797173354360795,0.6345328961781975,-0.21656116263458958,65.87077455890133
tats,Energy,48,0.5044621427853903,0.6617013133794936,-0.1572391705941033,76.23713790274363
tats,Environment,48,0.2748893068896399,0.3039389005165406,-0.029049593626900683,90.44229166535405
tats,Environment,96,0.2955976095464494,0.3028227996022656,-0.0072251900558161775,97.61405347770845
tats,Environment,192,0.3031921949651506,0.2895009752475019,0.013691219717648695,104.72924821961091
tats,Environment,336,0.28502081996864737,0.2851369255484234,-0.00011610557977603797,99.9592807632499
tats,Health,12,1.151445898744795,1.4632463716419402,-0.3118004728971451,78.69118427765058
tats,Health,24,1.3279073238372803,1.4417177722556267,-0.11381044841834642,92.10591347290634
tats,Health,36,1.3926879829830594,1.4414116535079669,-0.04872367052490745,96.61972550268145
tats,Health,48,1.4628138012356229,1.476177449386508,-0.013363648150885199,99.09471262032629
tats,Security,6,113.23856692843967,76.17999514726618,37.058571781173484,148.6460673954288
tats,Security,8,114.54616800944011,78.88526971826147,35.66089829117864,145.20602948882782
tats,Security,10,116.77076297336154,81.64902482669224,35.1217381466693,143.0155022931609
tats,Security,12,116.54309675428603,84.58701928303142,31.956077471254602,137.7789378820979
tats,SocialGood,6,0.9887453185187446,1.5523435656988736,-0.563598247180129,63.693717058929934
tats,SocialGood,8,1.008681919839647,1.5355453772518135,-0.5268634574121664,65.68883829697685
tats,SocialGood,10,1.0508119265238445,1.522241700067498,-0.47142977354365345,69.03055713670506
tats,SocialGood,12,1.0774804419941373,1.5129605098427437,-0.4354800678486064,71.21669303226757
tats,Traffic,6,0.17412201397948793,0.1718108166918868,0.0023111972876011244,101.34519894154619
tats,Traffic,8,0.17789599299430844,0.1747466698953233,0.003149323098985135,101.802222097206
tats,Traffic,10,0.1776630149947272,0.1776966331124096,-3.3618117682404636e-05,99.98108117351828
tats,Traffic,12,0.2262001915110482,0.1807379686494341,0.04546222286161411,125.1536648338647
