model,backbone,condition,seed,domain,pred_len,mse,mae,wall_s
aurora,default,C10_empty_keep_priors,2021,Agriculture,6,0.18474897742271423,0.2971222698688507,30.324073481024243
aurora,default,C10_empty_keep_priors,2021,Agriculture,8,0.2379712164402008,0.3308812081813812,18.976625088020228
aurora,default,C10_empty_keep_priors,2021,Agriculture,10,0.29984772205352783,0.36502495408058167,16.094521605002228
aurora,default,C10_empty_keep_priors,2021,Agriculture,12,0.37927109003067017,0.4059647023677826,18.233593591023237
aurora,default,C10_empty_keep_priors,2021,Climate,6,0.8563433289527893,0.7446700930595398,18.452498583006673
aurora,default,C10_empty_keep_priors,2021,Climate,8,0.8634476065635681,0.7478113770484924,15.997766134969424
aurora,default,C10_empty_keep_priors,2021,Climate,10,0.865837812423706,0.7480034232139587,17.8796530609834
aurora,default,C10_empty_keep_priors,2021,Climate,12,0.8742389678955078,0.7507547736167908,17.49733159301104
aurora,default,C10_empty_keep_priors,2021,Economy,6,0.03353714197874069,0.14702236652374268,18.168726673000492
aurora,default,C10_empty_keep_priors,2021,Economy,8,0.03273097798228264,0.1449013650417328,19.159167300967965
aurora,default,C10_empty_keep_priors,2021,Economy,10,0.0308087058365345,0.14077089726924896,19.130036337999627
aurora,default,C10_empty_keep_priors,2021,Economy,12,0.03078160621225834,0.141741544008255,15.109487286012154
aurora,default,C10_empty_keep_priors,2021,Energy,12,0.11699569225311279,0.2513231039047241,22.60736712499056
aurora,default,C10_empty_keep_priors,2021,Energy,24,0.2245904952287674,0.35072579979896545,22.567566253012046
aurora,default,C10_empty_keep_priors,2021,Energy,36,0.2926977574825287,0.40643027424812317,13.28997087397147
aurora,default,C10_empty_keep_priors,2021,Energy,48,0.38493263721466064,0.4723028242588043,20.27288550802041
aurora,default,C10_empty_keep_priors,2021,Environment,48,0.28019604086875916,0.37932637333869934,86.29591762798373
aurora,default,C10_empty_keep_priors,2021,Environment,96,0.2843029797077179,0.3816305994987488,82.40193117503077
aurora,default,C10_empty_keep_priors,2021,Environment,192,0.2701231837272644,0.375150203704834,115.53384051698959
aurora,default,C10_empty_keep_priors,2021,Environment,336,0.26884010434150696,0.37692806124687195,154.25463138095802
aurora,default,C10_empty_keep_priors,2021,Health,12,1.0903041362762451,0.6674867272377014,21.17982787900837
aurora,default,C10_empty_keep_priors,2021,Health,24,1.567314624786377,0.8447316884994507,17.26971878198674
aurora,default,C10_empty_keep_priors,2021,Health,36,1.6851222515106201,0.9177325963973999,12.181659057969227
aurora,default,C10_empty_keep_priors,2021,Health,48,1.8555759191513062,0.961479902267456,19.185887831030414
aurora,default,C10_empty_keep_priors,2021,Security,6,67.46742248535156,3.8811962604522705,18.987272907979786
aurora,default,C10_empty_keep_priors,2021,Security,8,70.98184204101562,4.0347981452941895,19.143299254996236
aurora,default,C10_empty_keep_priors,2021,Security,10,74.32698059082031,4.144157409667969,16.320748957048636
aurora,default,C10_empty_keep_priors,2021,Security,12,77.97306823730469,4.264104843139648,17.73653434298467
aurora,default,C10_empty_keep_priors,2021,SocialGood,6,0.70689457654953,0.4447058439254761,20.334809730993584
aurora,default,C10_empty_keep_priors,2021,SocialGood,8,0.7991229295730591,0.4938545823097229,17.98389637999935
aurora,default,C10_empty_keep_priors,2021,SocialGood,10,0.8848305344581604,0.5425970554351807,17.015716259018518
aurora,default,C10_empty_keep_priors,2021,SocialGood,12,0.9475237131118774,0.5835895538330078,17.955726752988994
aurora,default,C10_empty_keep_priors,2021,Traffic,6,0.15335656702518463,0.2834625244140625,16.631922307016794
aurora,default,C10_empty_keep_priors,2021,Traffic,8,0.1575886756181717,0.28472283482551575,16.58168831799412
aurora,default,C10_empty_keep_priors,2021,Traffic,10,0.16245727241039276,0.28765279054641724,17.75669721903978
aurora,default,C10_empty_keep_priors,2021,Traffic,12,0.16854959726333618,0.2942725121974945,15.961861354997382
aurora,default,C10_empty_keep_priors,2022,Agriculture,6,0.18252383172512054,0.29870742559432983,18.054255341994576
aurora,default,C10_empty_keep_priors,2022,Agriculture,8,0.2411094754934311,0.3340326249599457,16.920127804973163
