model,backbone,condition,seed,domain,pred_len,mse,mae,wall_s
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Agriculture,6,0.0798897072672844,0.2131219357252121,32.764405380003154
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Agriculture,8,0.10601317882537842,0.24542298913002014,55.31512087001465
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Agriculture,10,0.12879535555839539,0.25500765442848206,64.13068024802487
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Agriculture,12,0.12533673644065857,0.2614757716655731,63.59124725003494
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Climate,6,1.2214608192443848,0.8759276866912842,38.06677330803359
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Climate,8,1.1879003047943115,0.8732472658157349,71.33726683200803
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Climate,10,1.2205135822296143,0.8760396242141724,76.4321457259939
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Climate,12,1.133447527885437,0.8530846238136292,73.86482129897922
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Economy,6,0.07040932774543762,0.20577196776866913,53.42472293000901
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Economy,8,0.05843016132712364,0.19244438409805298,44.42425340297632
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Economy,10,0.10262999683618546,0.2527492642402649,35.11965468298877
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Economy,12,0.05006878450512886,0.17758548259735107,47.7002975930227
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Energy,12,0.19650386273860931,0.3477436602115631,76.11301281600026
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Energy,24,0.2998664677143097,0.43314099311828613,54.38839747698512
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Energy,36,0.42780837416648865,0.5065656304359436,58.791759752028156
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Energy,48,0.5165369510650635,0.5776301622390747,53.89351246500155
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Environment,48,0.557276725769043,0.5768155455589294,467.759917569987
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Environment,96,0.5813037753105164,0.5999216437339783,453.5889307059697
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Environment,192,0.612044632434845,0.6295434236526489,656.6610591239878
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Environment,336,0.562470555305481,0.5809685587882996,1074.3877811430139
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Health,12,1.5752315521240234,0.9367194175720215,118.99356622301275
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Health,24,2.014035224914551,1.0237846374511719,35.79484857595526
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Health,36,1.99481201171875,1.0240504741668701,36.35565602697898
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Health,48,1.8904478549957275,1.0050922632217407,75.42770966998069
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Security,6,121.31842041015625,5.482759952545166,47.21507005597232
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Security,8,118.82650756835938,5.397241592407227,49.53676790499594
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Security,10,125.62901306152344,5.702770709991455,45.3290192069835
mmtsflib,Autoformer,C10_empty_keep_priors,2021,Security,12,126.31631469726562,5.747001647949219,50.45171097898856
mmtsflib,Autoformer,C10_empty_keep_priors,2021,SocialGood,6,1.0612075328826904,0.5403123497962952,47.785659123037476
