condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.378674,0.848788,0.372512,0.349364,0.747759,0.146076,4.090378,0.515056,0.289048
C2_empty,0.378287,0.848297,0.371431,0.350432,0.747766,0.143528,4.092073,0.514870,0.288066
C3_shuffled,0.378689,0.848703,0.372379,0.349291,0.747799,0.148401,4.090671,0.514751,0.289268
C4_crossdomain,0.378672,0.848452,0.371427,0.349624,0.747845,0.147568,4.091069,0.515405,0.288084
C5_constant,0.379075,0.851042,0.373487,0.350707,0.747939,0.150343,4.093335,0.512326,0.292386
C6_unimodal,0.378674,0.848788,0.372512,0.349364,0.747759,0.146076,4.090378,0.515056,0.289048
C8_oracle,0.378773,0.850270,0.374094,0.349459,0.747882,0.149972,4.093112,0.513984,0.291872
C9_zero_priors,0.378674,0.848788,0.372512,0.349364,0.747759,0.146076,4.090378,0.515056,0.289048
C10_empty_keep_priors,0.378287,0.848297,0.371431,0.350432,0.747766,0.143528,4.092073,0.514870,0.288066
C11_constant_keep_priors,0.379075,0.851042,0.373487,0.350707,0.747939,0.150343,4.093335,0.512326,0.292386
