condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.276054,1.552530,0.254833,0.275051,0.864821,0.033233,72.722418,0.835851,0.161120
C2_empty,0.275937,1.551029,0.255738,0.275286,0.864908,0.032081,72.742676,0.835622,0.160798
C3_shuffled,0.276066,1.552535,0.254851,0.275071,0.864911,0.033969,72.724782,0.835201,0.161443
C4_crossdomain,0.276054,1.551779,0.254876,0.275309,0.864973,0.033492,72.715653,0.838497,0.160718
C5_constant,0.276214,1.558648,0.254953,0.276817,0.865089,0.034796,72.725453,0.844588,0.162818
C6_unimodal,0.276054,1.552530,0.254833,0.275051,0.864821,0.033233,72.722418,0.835851,0.161120
C8_oracle,0.276056,1.556699,0.255461,0.275168,0.864993,0.034604,72.725171,0.843666,0.162534
C9_zero_priors,0.276054,1.552530,0.254833,0.275051,0.864821,0.033233,72.722418,0.835851,0.161120
C10_empty_keep_priors,0.275937,1.551029,0.255738,0.275286,0.864908,0.032081,72.742676,0.835622,0.160798
C11_constant_keep_priors,0.276214,1.558648,0.254953,0.276817,0.865089,0.034796,72.725453,0.844588,0.162818
