condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.573455,1.010298,0.472105,0.236342,0.876245,0.211971,5.513655,0.555346,0.304423
C2_empty,0.603780,1.017563,0.454180,0.286903,0.896399,0.285843,5.532228,0.555329,0.341012
C3_shuffled,0.582271,1.023507,0.471701,0.231978,0.883407,0.210922,5.499203,0.570468,0.298484
C4_crossdomain,0.583413,1.017749,0.476476,0.231685,0.887731,0.197409,5.504929,0.571229,0.306718
C5_constant,0.598936,1.026396,0.460750,0.295326,0.903139,0.281723,5.530991,0.557975,0.334005
C6_unimodal,0.597602,1.063509,0.463089,0.235157,0.917707,0.217811,5.684262,0.565167,0.316978
C8_oracle,0.583775,1.015901,0.471176,0.246459,0.877266,0.212751,5.397855,0.578096,0.298034
C9_zero_priors,0.591304,1.047636,0.452902,0.285581,0.908242,0.286551,5.513349,0.550976,0.327987
C10_empty_keep_priors,0.589408,1.007762,0.459877,0.241045,0.876302,0.210553,5.506536,0.561516,0.299258
C11_constant_keep_priors,0.578924,1.003653,0.468762,0.239263,0.875073,0.219043,5.547226,0.561694,0.303425
