condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.566812,1.903483,0.363610,0.104957,1.186444,0.071881,122.065098,1.064734,0.213104
C2_empty,0.599322,1.952009,0.356504,0.152791,1.247162,0.122154,122.050416,1.013880,0.224715
C3_shuffled,0.565756,1.935486,0.365271,0.102770,1.198002,0.071305,121.745675,1.089558,0.209167
C4_crossdomain,0.564184,1.920147,0.373648,0.101918,1.203786,0.062650,121.793077,1.077701,0.212252
C5_constant,0.593086,1.978442,0.361363,0.160961,1.257262,0.120498,122.072564,1.014660,0.219443
C6_unimodal,0.599935,2.068240,0.358790,0.105471,1.292458,0.075982,126.556545,1.053999,0.221602
C8_oracle,0.566146,1.919682,0.362101,0.111006,1.186222,0.071588,119.071557,1.055332,0.207858
C9_zero_priors,0.585248,2.008202,0.348138,0.154025,1.277095,0.122323,121.855239,1.035671,0.211883
C10_empty_keep_priors,0.566376,1.896006,0.351957,0.108619,1.187153,0.072333,121.706563,1.052758,0.207571
C11_constant_keep_priors,0.559412,1.878992,0.363581,0.106836,1.182890,0.078403,122.819816,1.046761,0.211394
