condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.565398,0.760289,0.430897,0.408408,0.834456,0.799001,6.268481,0.506089,0.361492
C2_empty,0.593040,0.776268,0.441082,0.474703,0.854457,0.923488,6.333622,0.498992,0.382683
C3_shuffled,0.568742,0.760247,0.430883,0.415863,0.833356,0.792520,6.268528,0.497616,0.361520
C4_crossdomain,0.566399,0.760549,0.434350,0.416154,0.830702,0.792332,6.274162,0.503048,0.360402
C5_constant,0.592095,0.776299,0.441089,0.474711,0.854521,0.924027,6.333782,0.498899,0.382701
C6_unimodal,0.589021,0.782018,0.437891,0.441545,0.852758,0.875833,6.335403,0.500199,0.379793
C8_oracle,0.567323,0.767768,0.434853,0.411826,0.835078,0.772843,6.289053,0.492379,0.354867
C9_zero_priors,0.591765,0.776629,0.440390,0.470332,0.853772,0.938614,6.330342,0.508055,0.374348
C10_empty_keep_priors,0.574831,0.758288,0.434547,0.403198,0.836209,0.774997,6.270694,0.494559,0.359703
C11_constant_keep_priors,0.562378,0.758347,0.434534,0.403152,0.836195,0.774844,6.270711,0.494526,0.359675
