condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.544347,1.313754,0.330822,0.309260,1.121374,0.728757,126.854400,0.884063,0.218139
C2_empty,0.595578,1.366592,0.338535,0.384719,1.172529,0.936026,127.783862,0.896311,0.237231
C3_shuffled,0.550267,1.313699,0.330817,0.313286,1.119778,0.721628,126.855858,0.883867,0.218142
C4_crossdomain,0.546693,1.317158,0.333438,0.313330,1.110441,0.721908,126.933966,0.884220,0.217568
C5_constant,0.590578,1.366561,0.338562,0.384538,1.172664,0.937357,127.785994,0.896237,0.237246
C6_unimodal,0.588329,1.366862,0.334272,0.346613,1.166701,0.877627,127.831980,0.900230,0.236159
C8_oracle,0.548717,1.335382,0.331778,0.312202,1.121827,0.700072,127.119418,0.874866,0.212689
C9_zero_priors,0.591489,1.376494,0.339498,0.387773,1.169733,0.958190,127.748103,0.903892,0.233373
C10_empty_keep_priors,0.556775,1.315459,0.332181,0.300245,1.127124,0.699383,126.876609,0.875941,0.216803
C11_constant_keep_priors,0.547510,1.315519,0.332166,0.300125,1.127096,0.699003,126.876587,0.875910,0.216791
