condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.597145,0.870718,0.445797,0.284591,0.901303,0.218223,5.281473,0.598098,0.417224
C2_empty,0.560668,0.896661,0.516082,1.068850,0.964958,0.225814,5.273712,0.521731,0.690672
C3_shuffled,0.601286,0.870719,0.446080,0.284745,0.901279,0.217641,5.281516,0.598194,0.417176
C4_crossdomain,0.601290,0.870762,0.446068,0.284551,0.901270,0.218239,5.281502,0.598117,0.417217
C5_constant,0.560699,0.896657,0.516086,1.068742,0.964986,0.226109,5.273685,0.520904,0.690821
C6_unimodal,0.629185,0.889948,0.453526,0.355968,0.958003,0.308236,5.529627,0.630241,0.485796
C8_oracle,0.601193,0.874313,0.446062,0.284628,0.901278,0.218241,5.281522,0.598180,0.417047
C9_zero_priors,0.560657,0.896686,0.515552,1.068988,0.965140,0.225868,5.273641,0.521791,0.690536
C10_empty_keep_priors,0.601288,0.870728,0.445809,0.284629,0.901278,0.218238,5.281498,0.598183,0.417291
C11_constant_keep_priors,0.601288,0.870729,0.445798,0.284646,0.901278,0.217679,5.281489,0.598162,0.417198
