condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.536236,1.697400,0.362153,0.155349,1.227208,0.072413,109.343786,1.093302,0.303425
C2_empty,0.506526,1.859980,0.475063,1.310832,1.472915,0.077393,110.054859,1.072990,0.637626
C3_shuffled,0.541352,1.697392,0.362925,0.155345,1.227273,0.072062,109.344566,1.093430,0.303357
C4_crossdomain,0.541367,1.697650,0.362934,0.155289,1.227248,0.072439,109.344392,1.093343,0.303394
C5_constant,0.506585,1.859949,0.475315,1.308483,1.473058,0.077552,110.054693,1.071474,0.638385
C6_unimodal,0.584860,1.766676,0.365625,0.214488,1.387684,0.141229,111.748934,1.169216,0.394521
C8_oracle,0.541214,1.699957,0.362953,0.155309,1.227281,0.072427,109.344561,1.093445,0.303263
C9_zero_priors,0.506517,1.860014,0.474488,1.313236,1.473500,0.077439,110.054529,1.073062,0.636779
C10_empty_keep_priors,0.541358,1.697408,0.362158,0.155288,1.227254,0.072447,109.344437,1.093460,0.303396
C11_constant_keep_priors,0.541358,1.697422,0.362154,0.155269,1.227248,0.072044,109.344299,1.093446,0.303334
