condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.493478,1.405362,0.267232,0.092731,1.145804,0.044552,115.660815,0.945776,0.179995
C2_empty,0.511627,1.406782,0.301013,0.129828,1.143487,0.101592,116.196654,0.929990,0.187532
C3_shuffled,0.494174,1.405470,0.267231,0.091515,1.146112,0.048157,115.651663,0.956301,0.180011
C4_crossdomain,0.493189,1.406948,0.275023,0.089622,1.142570,0.044619,115.517127,0.950818,0.179413
C5_constant,0.512202,1.406702,0.300917,0.130066,1.143355,0.101524,116.190497,0.929981,0.187463
C6_unimodal,0.528565,1.450821,0.272119,0.095665,1.199068,0.059728,115.814969,0.945759,0.187712
C8_oracle,0.493554,1.400313,0.265906,0.093909,1.144951,0.043926,116.654877,0.940225,0.178816
C9_zero_priors,0.511908,1.411457,0.282917,0.129223,1.155575,0.105100,115.486848,0.932905,0.187142
C10_empty_keep_priors,0.494745,1.399250,0.273111,0.094797,1.136291,0.049385,116.400482,0.945930,0.180330
C11_constant_keep_priors,0.494730,1.399201,0.273090,0.094780,1.136257,0.049404,116.407761,0.946016,0.180331
