condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.506605,0.944698,0.458801,0.223387,0.910277,0.149360,5.570286,0.545921,0.338823
C2_empty,0.525344,0.970310,0.543883,1.083498,0.975817,0.150652,5.581723,0.485764,0.701260
C3_shuffled,0.506728,0.944991,0.458205,0.223398,0.910256,0.149311,5.570727,0.548570,0.338702
C4_crossdomain,0.506740,0.944907,0.459099,0.223421,0.910388,0.149249,5.570309,0.546388,0.338773
C5_constant,0.525359,0.968586,0.541045,1.083507,0.975707,0.151013,5.581760,0.486691,0.701569
C6_unimodal,0.521446,0.980132,0.442507,0.205008,0.948606,0.145378,5.819136,0.538168,0.353364
C8_oracle,0.506415,0.945832,0.457933,0.223558,0.910570,0.149425,5.570546,0.548827,0.338755
C9_zero_priors,0.525404,0.971111,0.544664,1.083497,0.975631,0.151228,5.581229,0.485012,0.700771
C10_empty_keep_priors,0.506423,0.944470,0.459292,0.223583,0.910548,0.149430,5.570423,0.548673,0.338433
C11_constant_keep_priors,0.506473,0.944742,0.458253,0.223735,0.910560,0.149496,5.570232,0.548706,0.338751
