condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.505801,1.795019,0.361513,0.105978,1.240724,0.034492,116.584983,1.048170,0.237926
C2_empty,0.552513,1.915218,0.519362,1.280973,1.502397,0.034560,117.292881,1.045646,0.631957
C3_shuffled,0.505913,1.795283,0.361537,0.105999,1.240551,0.034474,116.597400,1.051830,0.237964
C4_crossdomain,0.505849,1.795043,0.362704,0.106306,1.240191,0.034484,116.590771,1.048973,0.237909
C5_constant,0.552523,1.910438,0.515889,1.281188,1.502352,0.034711,117.292711,1.046234,0.632438
C6_unimodal,0.538248,1.897334,0.352198,0.107288,1.336916,0.032135,120.473607,1.075455,0.250563
C8_oracle,0.505476,1.795417,0.361488,0.105991,1.240421,0.034494,116.594800,1.051836,0.237961
C9_zero_priors,0.552523,1.915108,0.520279,1.280949,1.502184,0.034791,117.283593,1.045300,0.630761
C10_empty_keep_priors,0.505542,1.795240,0.363091,0.106317,1.240331,0.034475,116.592387,1.051718,0.237845
C11_constant_keep_priors,0.505561,1.795293,0.361506,0.106353,1.240365,0.034500,116.591859,1.051832,0.237921
