condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.523037,0.788606,0.501538,0.511662,0.833035,0.949105,6.514994,0.447454,0.332233
C2_empty,0.532669,0.801235,0.483013,0.551896,0.837955,1.058782,6.616675,0.467481,0.359299
C3_shuffled,0.520295,0.791431,0.501218,0.507195,0.830720,0.966962,6.520996,0.456031,0.332520
C4_crossdomain,0.520838,0.776041,0.500422,0.494706,0.827087,0.972516,6.521929,0.450457,0.331330
C5_constant,0.534902,0.814259,0.481160,0.569002,0.836915,1.053967,6.617162,0.465432,0.368757
C6_unimodal,0.535211,0.804129,0.506566,0.556536,0.844319,1.057177,6.613251,0.453402,0.348326
C8_oracle,0.523691,0.787088,0.506469,0.526034,0.835395,0.992177,6.520303,0.445902,0.338343
C9_zero_priors,0.531631,0.806440,0.497567,0.556267,0.831986,1.031359,6.617048,0.458592,0.351193
C10_empty_keep_priors,0.521291,0.787148,0.506124,0.509957,0.829323,0.991133,6.519061,0.447995,0.338547
C11_constant_keep_priors,0.523202,0.785327,0.505551,0.510389,0.829653,0.992493,6.517338,0.447225,0.339384
C7_null,,,,0.599408,0.843157,1.057292,,,
