condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.478996,1.396447,0.398373,0.446279,1.116550,0.987331,129.731283,0.839941,0.188538
C2_empty,0.489291,1.461256,0.374262,0.502982,1.131231,1.220393,131.173135,0.861483,0.207231
C3_shuffled,0.475401,1.398691,0.397605,0.435076,1.116528,1.026180,129.857133,0.845965,0.189098
C4_crossdomain,0.474896,1.372487,0.395067,0.422709,1.106103,1.023117,129.845349,0.843773,0.188268
C5_constant,0.493378,1.482073,0.371360,0.523118,1.128181,1.207572,131.199233,0.862387,0.213906
C6_unimodal,0.494428,1.434837,0.403092,0.503611,1.150441,1.212374,131.152249,0.841314,0.200933
C8_oracle,0.477633,1.399574,0.401284,0.455479,1.128789,1.066966,129.817212,0.843465,0.192000
C9_zero_priors,0.488575,1.457068,0.391319,0.505443,1.117764,1.158864,131.198433,0.849258,0.202265
C10_empty_keep_priors,0.472368,1.422658,0.400098,0.443916,1.117808,1.063384,129.783481,0.842715,0.191397
C11_constant_keep_priors,0.477810,1.402623,0.399702,0.444532,1.114449,1.066220,129.765895,0.840832,0.192109
C7_null,,,,0.570026,1.137866,1.168108,,,
