condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.509255,0.774485,0.442946,0.378235,0.824566,0.596579,6.580142,0.460039,0.303260
C2_empty,0.518890,0.808108,0.436998,0.385726,0.827046,0.711520,6.701415,0.477051,0.322046
C3_shuffled,0.511204,0.774352,0.442913,0.372707,0.821781,0.599738,6.581067,0.470367,0.303431
C4_crossdomain,0.510282,0.772909,0.439283,0.379610,0.818943,0.610040,6.581018,0.466803,0.301677
C5_constant,0.518846,0.808066,0.436980,0.385841,0.827012,0.693531,6.701613,0.477013,0.322125
C6_unimodal,0.516283,0.801160,0.434978,0.412225,0.837820,0.650132,6.676346,0.479874,0.319171
C8_oracle,0.512297,0.764772,0.442395,0.375486,0.822176,0.590973,6.584137,0.457766,0.304212
C9_zero_priors,0.523644,0.800223,0.432788,0.407008,0.829784,0.720109,6.693434,0.482839,0.314532
C10_empty_keep_priors,0.510931,0.782922,0.450542,0.361824,0.821378,0.605501,6.571626,0.464061,0.301445
C11_constant_keep_priors,0.510918,0.782965,0.450503,0.361623,0.821413,0.605625,6.572900,0.463959,0.301599
