condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.458831,1.292308,0.329989,0.286606,1.089085,0.452121,130.821340,0.851458,0.175072
C2_empty,0.472611,1.411766,0.319372,0.307207,1.085661,0.597624,132.591248,0.888160,0.187122
C3_shuffled,0.458087,1.292500,0.329944,0.281795,1.077613,0.457333,130.855220,0.864057,0.175117
C4_crossdomain,0.457495,1.302244,0.325745,0.286317,1.067813,0.463155,130.851218,0.860830,0.173758
C5_constant,0.472611,1.411641,0.319340,0.307775,1.085630,0.564888,132.593083,0.888101,0.187154
C6_unimodal,0.466925,1.372757,0.317326,0.324176,1.120326,0.534415,132.255075,0.881845,0.186579
C8_oracle,0.459654,1.308421,0.331586,0.285841,1.074236,0.452682,130.916634,0.848183,0.175124
C9_zero_priors,0.477416,1.378630,0.314823,0.326775,1.097828,0.599650,132.436064,0.887134,0.184213
C10_empty_keep_priors,0.460176,1.333387,0.343790,0.272180,1.073764,0.473376,130.744514,0.848022,0.173229
C11_constant_keep_priors,0.460154,1.333546,0.343752,0.272120,1.073819,0.473736,130.762441,0.847908,0.173324
