condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.479852,0.785332,0.389402,0.203272,0.876367,0.106450,5.566665,0.472745,0.254700
C2_empty,0.483643,0.829473,0.448692,0.665455,0.885259,0.127411,5.771428,0.523551,0.297046
C3_shuffled,0.478744,0.785360,0.389355,0.202808,0.870762,0.106052,5.570219,0.474192,0.254698
C4_crossdomain,0.478780,0.785985,0.387490,0.203893,0.878636,0.106496,5.569842,0.473414,0.254345
C5_constant,0.483651,0.829565,0.449519,0.665431,0.885300,0.127495,5.769882,0.523378,0.296984
C6_unimodal,0.488381,0.799803,0.387896,0.198897,0.902671,0.099524,5.654264,0.475994,0.263724
C8_oracle,0.479546,0.786855,0.386003,0.203234,0.873422,0.106441,5.555315,0.480566,0.256290
C9_zero_priors,0.486401,0.830490,0.448365,0.665220,0.885769,0.126320,5.778785,0.521728,0.297123
C10_empty_keep_priors,0.478483,0.780430,0.389146,0.202378,0.874094,0.106067,5.564730,0.468033,0.255814
C11_constant_keep_priors,0.478499,0.781982,0.388343,0.202484,0.874090,0.106012,5.562934,0.469973,0.254623
