condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.417231,1.630010,0.274090,0.091083,1.144141,0.017818,117.113177,1.187079,0.210041
C2_empty,0.422392,1.812279,0.357815,0.581846,1.181821,0.024798,120.550404,1.559665,0.266878
C3_shuffled,0.415731,1.630177,0.273912,0.090932,1.129609,0.017731,117.082501,1.170969,0.209994
C4_crossdomain,0.415715,1.624251,0.271761,0.091504,1.150778,0.017863,117.032466,1.161939,0.209696
C5_constant,0.422398,1.812664,0.359500,0.581868,1.181900,0.024779,120.555363,1.559635,0.266892
C6_unimodal,0.427636,1.727047,0.278523,0.092138,1.208971,0.016044,118.667831,1.224745,0.215746
C8_oracle,0.417658,1.623713,0.271091,0.091309,1.131761,0.017880,117.095947,1.231206,0.210710
C9_zero_priors,0.424635,1.803414,0.355614,0.581588,1.182936,0.024496,120.506105,1.576604,0.267052
C10_empty_keep_priors,0.415701,1.612809,0.274532,0.090806,1.140795,0.017713,117.179576,1.147884,0.211350
C11_constant_keep_priors,0.415718,1.621074,0.273587,0.090859,1.140836,0.017695,117.185965,1.152104,0.210337
