condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.419664,0.886335,0.495896,0.269711,0.785758,0.157397,4.691287,0.655573,0.263718
C2_empty,0.622584,0.967955,0.519643,0.749155,0.866716,0.439154,4.904228,0.735841,0.529119
C3_shuffled,0.420662,0.886335,0.495906,0.269712,0.785759,0.157398,4.691287,0.655573,0.263718
C4_crossdomain,0.418772,0.886334,0.499923,0.269712,0.785824,0.157397,4.691287,0.655573,0.263719
C5_constant,0.616118,0.968282,0.519635,0.749148,0.866716,0.439154,4.904228,0.735841,0.529121
C6_unimodal,0.510158,1.060863,0.467477,0.243130,0.916548,0.237630,5.575122,0.564400,0.333189
C8_oracle,0.419940,0.886555,0.500177,0.269712,0.785729,0.157397,4.691288,0.655572,0.263718
C9_zero_priors,0.614978,0.968281,0.519648,0.749148,0.866715,0.439154,4.904227,0.735841,0.529119
C10_empty_keep_priors,0.418837,0.888154,0.499919,0.269712,0.785825,0.157397,4.691435,0.655562,0.263719
C11_constant_keep_priors,0.417979,0.886335,0.495897,0.269712,0.785729,0.157398,4.691288,0.655573,0.263719
