condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.315495,1.533547,0.407066,0.131421,0.987444,0.038920,107.304979,1.152666,0.186916
C2_empty,0.591483,1.876739,0.478277,0.858434,1.204851,0.285181,110.250575,1.113412,0.431632
C3_shuffled,0.315270,1.533547,0.407113,0.131422,0.987444,0.038921,107.304980,1.152666,0.186916
C4_crossdomain,0.311572,1.533530,0.411241,0.131422,0.987652,0.038920,107.304984,1.152666,0.186916
C5_constant,0.583862,1.879633,0.478272,0.858418,1.204853,0.285181,110.250573,1.113412,0.431634
C6_unimodal,0.421267,2.052734,0.361698,0.113209,1.298517,0.090259,123.200304,1.070342,0.230543
C8_oracle,0.314864,1.532195,0.411659,0.131422,0.987406,0.038920,107.304997,1.152666,0.186916
C9_zero_priors,0.579854,1.879632,0.478276,0.858418,1.204848,0.285181,110.250564,1.113412,0.431632
C10_empty_keep_priors,0.314671,1.534763,0.411241,0.131421,0.987653,0.038920,107.302345,1.152650,0.186917
C11_constant_keep_priors,0.312911,1.533547,0.407066,0.131422,0.987406,0.038921,107.304996,1.152666,0.186916
