condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.420702,0.722152,0.488080,0.312076,0.776983,0.439750,5.950392,0.565773,0.310639
C2_empty,0.538085,0.790093,0.426731,0.639120,0.836343,1.119566,6.274494,0.490227,0.421082
C3_shuffled,0.420702,0.722152,0.488080,0.312076,0.776983,0.439750,5.950392,0.565773,0.310639
C4_crossdomain,0.420702,0.722152,0.488080,0.312076,0.776983,0.439750,5.950392,0.565773,0.310639
C5_constant,0.538085,0.790093,0.426731,0.639120,0.836343,1.119566,6.274494,0.490227,0.421082
C6_unimodal,0.529774,0.775589,0.420236,0.507312,0.854391,0.882530,6.217376,0.486565,0.404138
C8_oracle,0.420702,0.722152,0.488080,0.312076,0.776983,0.439750,5.950392,0.565773,0.310639
C9_zero_priors,0.538085,0.790093,0.426731,0.639120,0.836343,1.119566,6.274494,0.490227,0.421082
C10_empty_keep_priors,0.420702,0.722152,0.488080,0.312076,0.776983,0.439750,5.950392,0.565773,0.310639
C11_constant_keep_priors,0.420702,0.722152,0.488080,0.312076,0.776983,0.439750,5.950392,0.565773,0.310639
