condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.296837,1.182069,0.383395,0.201933,1.002743,0.231323,122.394545,0.923818,0.177495
C2_empty,0.452215,1.427112,0.307390,0.603014,1.125379,1.351603,126.932799,0.868651,0.257699
C3_shuffled,0.296837,1.182069,0.383395,0.201933,1.002743,0.231323,122.394545,0.923818,0.177495
C4_crossdomain,0.296837,1.182069,0.383395,0.201933,1.002743,0.231323,122.394545,0.923818,0.177495
C5_constant,0.452215,1.427112,0.307390,0.603014,1.125379,1.351603,126.932799,0.868651,0.257699
C6_unimodal,0.456931,1.392395,0.309677,0.422548,1.170504,0.908816,126.186965,0.880023,0.250952
C8_oracle,0.296837,1.182069,0.383395,0.201933,1.002743,0.231323,122.394545,0.923818,0.177495
C9_zero_priors,0.452215,1.427112,0.307390,0.603014,1.125379,1.351603,126.932799,0.868651,0.257699
C10_empty_keep_priors,0.296837,1.182069,0.383395,0.201933,1.002743,0.231323,122.394545,0.923818,0.177495
C11_constant_keep_priors,0.296837,1.182069,0.383395,0.201933,1.002743,0.231323,122.394545,0.923818,0.177495
