condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.458962,0.853538,0.523805,0.281913,0.782039,0.165711,4.698307,0.667012,0.320891
C2_empty,0.507571,1.146104,1.586785,5.001295,2.484990,0.285927,5.174541,1.760349,2.967288
C3_shuffled,0.458962,0.853538,0.523805,0.281913,0.782039,0.165711,4.698307,0.667012,0.320891
C4_crossdomain,0.458962,0.853538,0.523805,0.281913,0.782039,0.165711,4.698307,0.667012,0.320891
C5_constant,0.507571,1.146104,1.586785,5.001295,2.484990,0.285927,5.174541,1.760349,2.967288
C6_unimodal,0.637533,1.006238,0.466449,0.354064,0.959799,0.306628,5.580312,0.630296,0.488406
C8_oracle,0.458962,0.853538,0.523805,0.281913,0.782039,0.165711,4.698307,0.667012,0.320891
C9_zero_priors,0.507571,1.146104,1.586785,5.001295,2.484990,0.285927,5.174541,1.760349,2.967288
C10_empty_keep_priors,0.458962,0.853538,0.523805,0.281913,0.782039,0.165711,4.698307,0.667012,0.320891
C11_constant_keep_priors,0.458962,0.853538,0.523805,0.281913,0.782039,0.165711,4.698307,0.667012,0.320891
