condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.322361,1.547919,0.466096,0.153723,0.958716,0.041587,106.937651,1.149804,0.209304
C2_empty,0.498582,2.828835,2.862867,25.168794,7.311861,0.121606,115.119572,4.201010,9.089455
C3_shuffled,0.322361,1.547919,0.466096,0.153723,0.958716,0.041587,106.937651,1.149804,0.209304
C4_crossdomain,0.322361,1.547919,0.466096,0.153723,0.958716,0.041587,106.937651,1.149804,0.209304
C5_constant,0.498582,2.828835,2.862867,25.168794,7.311861,0.121606,115.119572,4.201010,9.089455
C6_unimodal,0.555967,1.977294,0.383344,0.214577,1.392758,0.139932,112.251243,1.170529,0.398728
C8_oracle,0.322361,1.547919,0.466096,0.153723,0.958716,0.041587,106.937651,1.149804,0.209304
C9_zero_priors,0.498582,2.828835,2.862867,25.168794,7.311861,0.121606,115.119572,4.201010,9.089455
C10_empty_keep_priors,0.322361,1.547919,0.466096,0.153723,0.958716,0.041587,106.937651,1.149804,0.209304
C11_constant_keep_priors,0.322361,1.547919,0.466096,0.153723,0.958716,0.041587,106.937651,1.149804,0.209304
