condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.390180,0.861966,0.535865,0.258223,0.770642,0.114701,4.705527,0.596616,0.230466
C2_empty,0.479139,0.892332,0.568077,0.543870,0.852481,1.029635,4.912782,0.765616,0.504076
C3_shuffled,0.390180,0.861966,0.535864,0.258223,0.770642,0.114701,4.705526,0.596617,0.230466
C4_crossdomain,0.390902,0.861966,0.535865,0.258223,0.770642,0.114701,4.705527,0.596615,0.230466
C5_constant,0.477629,0.892331,0.568076,0.543870,0.852481,1.029635,4.912782,0.765616,0.504076
C6_unimodal,0.487249,0.894980,0.413770,0.227357,0.917465,0.189661,5.345518,0.480388,0.308778
C8_oracle,0.390180,0.861966,0.535865,0.258223,0.770642,0.114701,4.705528,0.596617,0.230466
C9_zero_priors,0.475294,0.892332,0.568076,0.543870,0.852481,1.029635,4.912782,0.765616,0.504076
C10_empty_keep_priors,0.390182,0.861966,0.535865,0.258223,0.770642,0.114701,4.705526,0.596617,0.230466
C11_constant_keep_priors,0.390180,0.861966,0.535864,0.258223,0.770642,0.114701,4.705527,0.596616,0.230466
