condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.282984,1.379427,0.442635,0.112286,0.944541,0.020783,107.901445,1.070322,0.170057
C2_empty,0.375137,1.503543,0.558025,0.455642,1.123571,1.327470,110.616533,1.122498,0.378771
C3_shuffled,0.282984,1.379427,0.442635,0.112286,0.944541,0.020783,107.901431,1.070322,0.170057
C4_crossdomain,0.282714,1.379427,0.442635,0.112286,0.944541,0.020783,107.901449,1.070321,0.170057
C5_constant,0.373931,1.503543,0.558024,0.455643,1.123570,1.327470,110.616528,1.122498,0.378771
C6_unimodal,0.390385,1.457558,0.295678,0.097801,1.276479,0.058895,116.123372,0.924356,0.215640
C8_oracle,0.282984,1.379427,0.442635,0.112286,0.944541,0.020783,107.901453,1.070323,0.170057
C9_zero_priors,0.372268,1.503543,0.558024,0.455642,1.123570,1.327470,110.616528,1.122498,0.378771
C10_empty_keep_priors,0.282985,1.379427,0.442635,0.112286,0.944541,0.020783,107.901445,1.070322,0.170057
C11_constant_keep_priors,0.282984,1.379427,0.442635,0.112286,0.944541,0.020783,107.901442,1.070322,0.170057
