condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.373322,0.857495,0.491488,0.229291,0.782485,0.098871,4.859218,0.638020,0.280014
C2_empty,0.535041,1.183882,1.723655,5.027492,2.498322,0.240908,5.387749,1.787980,2.998046
C3_shuffled,0.373322,0.857495,0.491488,0.229291,0.782485,0.098871,4.859218,0.638020,0.280014
C4_crossdomain,0.373322,0.857495,0.491488,0.229291,0.782485,0.098871,4.859218,0.638020,0.280014
C5_constant,0.535041,1.183882,1.723655,5.027492,2.498322,0.240908,5.387749,1.787980,2.998046
C6_unimodal,0.395486,1.016643,0.457089,0.204778,0.948780,0.146540,5.773143,0.538232,0.378848
C8_oracle,0.373322,0.857495,0.491488,0.229291,0.782485,0.098871,4.859218,0.638020,0.280014
C9_zero_priors,0.535041,1.183882,1.723655,5.027492,2.498322,0.240908,5.387749,1.787980,2.998046
C10_empty_keep_priors,0.373322,0.857495,0.491488,0.229291,0.782485,0.098871,4.859218,0.638020,0.280014
C11_constant_keep_priors,0.373322,0.857495,0.491488,0.229291,0.782485,0.098871,4.859218,0.638020,0.280014
