condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.269599,1.529906,0.413268,0.120330,0.956180,0.014548,108.745714,1.087270,0.178727
C2_empty,0.538633,2.728216,3.317904,25.401347,7.362281,0.082188,116.939349,4.280586,9.238387
C3_shuffled,0.269599,1.529906,0.413268,0.120330,0.956180,0.014548,108.745714,1.087270,0.178727
C4_crossdomain,0.269599,1.529906,0.413268,0.120330,0.956180,0.014548,108.745714,1.087270,0.178727
C5_constant,0.538633,2.728216,3.317904,25.401347,7.362281,0.082188,116.939349,4.280586,9.238387
C6_unimodal,0.322661,2.002759,0.370191,0.107004,1.337387,0.032802,118.987803,1.077700,0.267412
C8_oracle,0.269599,1.529906,0.413268,0.120330,0.956180,0.014548,108.745714,1.087270,0.178727
C9_zero_priors,0.538633,2.728216,3.317904,25.401347,7.362281,0.082188,116.939349,4.280586,9.238387
C10_empty_keep_priors,0.269599,1.529906,0.413268,0.120330,0.956180,0.014548,108.745714,1.087270,0.178727
C11_constant_keep_priors,0.269599,1.529906,0.413268,0.120330,0.956180,0.014548,108.745714,1.087270,0.178727
