condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.410453,0.723346,0.505682,0.334013,0.758971,0.530277,6.065063,0.492381,0.286283
C2_empty,0.531009,0.746261,0.491439,0.902293,0.801374,1.018293,6.606749,0.480321,0.393647
C3_shuffled,0.411016,0.724056,0.506002,0.334160,0.758946,0.530291,6.064928,0.492647,0.286366
C4_crossdomain,0.413003,0.724189,0.505919,0.334041,0.758983,0.530202,6.064929,0.493045,0.286226
C5_constant,0.531234,0.745978,0.491584,0.902319,0.803800,1.018289,6.606185,0.480459,0.393658
C6_unimodal,0.535171,0.798495,0.496014,0.587792,0.838526,1.138385,6.643825,0.480458,0.404754
C8_oracle,0.411931,0.721503,0.506211,0.334170,0.758968,0.530341,6.065033,0.492562,0.286315
C9_zero_priors,0.530755,0.746666,0.491625,0.902275,0.801231,1.018371,6.606527,0.480422,0.393630
C10_empty_keep_priors,0.410170,0.720322,0.506018,0.333906,0.758844,0.530365,6.064870,0.492566,0.286364
C11_constant_keep_priors,0.410840,0.723529,0.506056,0.334040,0.758973,0.530297,6.064969,0.492304,0.286319
