condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.286943,1.154649,0.392757,0.239478,0.948027,0.327592,123.338685,0.874907,0.162383
C2_empty,0.434513,1.252499,0.385216,1.007114,1.039676,1.122505,131.003625,0.878780,0.235042
C3_shuffled,0.287088,1.155687,0.393232,0.239708,0.948037,0.327598,123.333740,0.875018,0.162438
C4_crossdomain,0.287695,1.155736,0.393089,0.239576,0.947923,0.327493,123.337696,0.875164,0.162347
C5_constant,0.435342,1.252950,0.385641,1.007165,1.045171,1.122534,130.995336,0.878504,0.235031
C6_unimodal,0.448211,1.430426,0.385823,0.536156,1.140917,1.398347,131.950977,0.885192,0.248595
C8_oracle,0.288604,1.152746,0.393406,0.239784,0.947817,0.327673,123.335728,0.874766,0.162404
C9_zero_priors,0.436816,1.254056,0.385589,1.007086,1.039408,1.122696,130.996821,0.878505,0.234996
C10_empty_keep_priors,0.286602,1.151109,0.393344,0.239465,0.947858,0.327677,123.332282,0.874720,0.162404
C11_constant_keep_priors,0.287414,1.155028,0.393245,0.239602,0.948408,0.327613,123.337006,0.875111,0.162409
