condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.395667,0.699929,0.478101,0.295108,0.756903,0.312725,5.892017,0.513348,0.284356
C2_empty,0.495727,0.702120,0.406966,0.665309,0.829392,0.796794,6.330694,0.536286,0.413450
C3_shuffled,0.395667,0.699928,0.478100,0.295108,0.756903,0.312724,5.892017,0.513347,0.284355
C4_crossdomain,0.395667,0.699928,0.478101,0.295108,0.756903,0.312725,5.892017,0.513346,0.284356
C5_constant,0.495740,0.702121,0.406966,0.665309,0.829392,0.796794,6.330694,0.536286,0.413450
C6_unimodal,0.477658,0.774896,0.429001,0.420585,0.839230,0.817885,6.619537,0.494506,0.398519
C8_oracle,0.395667,0.699928,0.478100,0.295108,0.756903,0.312724,5.892017,0.513347,0.284356
C9_zero_priors,0.495758,0.702121,0.406966,0.665309,0.829392,0.796794,6.330694,0.536286,0.413450
C10_empty_keep_priors,0.395662,0.699929,0.478100,0.295108,0.756902,0.312725,5.892016,0.513346,0.284356
C11_constant_keep_priors,0.395667,0.699928,0.478101,0.295108,0.756902,0.312724,5.892017,0.513348,0.284356
