condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.276479,1.136707,0.361091,0.179553,0.935216,0.130508,121.685758,0.893877,0.162677
C2_empty,0.394504,1.217599,0.287762,0.630836,1.074505,0.744543,127.415503,0.921122,0.259624
C3_shuffled,0.276478,1.136706,0.361091,0.179553,0.935217,0.130508,121.685757,0.893877,0.162676
C4_crossdomain,0.276479,1.136706,0.361092,0.179553,0.935217,0.130508,121.685755,0.893876,0.162677
C5_constant,0.394522,1.217600,0.287762,0.630835,1.074505,0.744543,127.415510,0.921122,0.259624
C6_unimodal,0.385887,1.329086,0.309110,0.332227,1.106980,0.784341,131.594478,0.882984,0.245715
C8_oracle,0.276478,1.136706,0.361091,0.179553,0.935217,0.130507,121.685753,0.893877,0.162677
C9_zero_priors,0.394547,1.217600,0.287762,0.630836,1.074505,0.744543,127.415508,0.921122,0.259624
C10_empty_keep_priors,0.276475,1.136707,0.361091,0.179553,0.935216,0.130508,121.685747,0.893876,0.162677
C11_constant_keep_priors,0.276478,1.136706,0.361091,0.179553,0.935217,0.130508,121.685758,0.893877,0.162677
