condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.369071,0.745135,0.423169,0.201940,0.797490,0.083545,5.221403,0.542446,0.233696
C2_empty,0.389810,0.980021,0.856806,4.650818,0.995596,0.143459,6.295260,1.405278,1.713919
C3_shuffled,0.369071,0.745135,0.423169,0.201940,0.797490,0.083545,5.221403,0.542446,0.233696
C4_crossdomain,0.369071,0.745135,0.423169,0.201940,0.797490,0.083545,5.221403,0.542446,0.233696
C5_constant,0.389810,0.980021,0.856806,4.650818,0.995596,0.143459,6.295260,1.405278,1.713919
C6_unimodal,0.388085,0.818128,0.378458,0.197135,0.899563,0.101189,5.444209,0.473032,0.269843
C8_oracle,0.369071,0.745135,0.423169,0.201940,0.797490,0.083545,5.221403,0.542446,0.233696
C9_zero_priors,0.389810,0.980021,0.856806,4.650818,0.995596,0.143459,6.295260,1.405278,1.713919
C10_empty_keep_priors,0.369071,0.745135,0.423169,0.201940,0.797490,0.083545,5.221403,0.542446,0.233696
C11_constant_keep_priors,0.369071,0.745135,0.423169,0.201940,0.797490,0.083545,5.221403,0.542446,0.233696
