condition,Environment,Health,Energy,Agriculture,Climate,Economy,Security,SocialGood,Traffic
C1_original,0.259721,1.298574,0.301768,0.093639,0.995954,0.010160,115.547611,1.069578,0.195224
C2_empty,0.285971,1.977851,1.059699,21.788833,1.602886,0.031510,130.894669,4.787670,3.312053
C3_shuffled,0.259721,1.298574,0.301768,0.093639,0.995954,0.010160,115.547611,1.069578,0.195224
C4_crossdomain,0.259721,1.298574,0.301768,0.093639,0.995954,0.010160,115.547611,1.069578,0.195224
C5_constant,0.285971,1.977851,1.059699,21.788833,1.602886,0.031510,130.894669,4.787670,3.312053
C6_unimodal,0.277674,1.668536,0.266738,0.092092,1.214090,0.016304,116.274728,1.173830,0.220549
C8_oracle,0.259721,1.298574,0.301768,0.093639,0.995954,0.010160,115.547611,1.069578,0.195224
C9_zero_priors,0.285971,1.977851,1.059699,21.788833,1.602886,0.031510,130.894669,4.787670,3.312053
C10_empty_keep_priors,0.259721,1.298574,0.301768,0.093639,0.995954,0.010160,115.547611,1.069578,0.195224
C11_constant_keep_priors,0.259721,1.298574,0.301768,0.093639,0.995954,0.010160,115.547611,1.069578,0.195224
