model,backbone,condition,seed,domain,pred_len,mse,mae,wall_s
tats,Autoformer,C10_empty_keep_priors,2021,Agriculture,6,0.11134298890829086,0.24035745859146118,32.657592322997516
tats,Autoformer,C10_empty_keep_priors,2021,Agriculture,8,0.11800907552242279,0.2653323709964752,31.54063388200302
tats,Autoformer,C10_empty_keep_priors,2021,Agriculture,10,0.1423831731081009,0.28430992364883423,34.101432351992116
tats,Autoformer,C10_empty_keep_priors,2021,Agriculture,12,0.16868947446346283,0.30820319056510925,33.726108245988144
tats,Autoformer,C10_empty_keep_priors,2021,Climate,6,0.9981476664543152,0.7917003035545349,33.05147271799797
tats,Autoformer,C10_empty_keep_priors,2021,Climate,8,0.9668803215026855,0.7739959955215454,33.45360262399481
tats,Autoformer,C10_empty_keep_priors,2021,Climate,10,1.0217806100845337,0.7987385988235474,32.51672545100155
tats,Autoformer,C10_empty_keep_priors,2021,Climate,12,0.9627586007118225,0.7829311490058899,34.7353178189951
tats,Autoformer,C10_empty_keep_priors,2021,Economy,6,0.0338265597820282,0.14692014455795288,30.835611136993975
tats,Autoformer,C10_empty_keep_priors,2021,Economy,8,0.04109994322061539,0.16305240988731384,30.879160336000496
tats,Autoformer,C10_empty_keep_priors,2021,Economy,10,0.03477338328957558,0.14678454399108887,28.548439728008816
tats,Autoformer,C10_empty_keep_priors,2021,Economy,12,0.030264148488640785,0.13911785185337067,32.460904413004755
tats,Autoformer,C10_empty_keep_priors,2021,Energy,12,0.1737280637025833,0.3177925646305084,46.58079329000611
tats,Autoformer,C10_empty_keep_priors,2021,Energy,24,0.4011230766773224,0.5006744265556335,40.5291273049952
tats,Autoformer,C10_empty_keep_priors,2021,Energy,36,0.46306493878364563,0.5513142347335815,49.24044685999979
tats,Autoformer,C10_empty_keep_priors,2021,Energy,48,0.5332282185554504,0.5944980382919312,43.59354326200264
tats,Autoformer,C10_empty_keep_priors,2021,Environment,48,0.30843842029571533,0.40439504384994507,449.5953360130079
tats,Autoformer,C10_empty_keep_priors,2021,Environment,96,0.30189451575279236,0.4033015966415405,481.73640167099074
tats,Autoformer,C10_empty_keep_priors,2021,Environment,192,0.3443407416343689,0.45579367876052856,490.84908249700675
tats,Autoformer,C10_empty_keep_priors,2021,Environment,336,0.31966525316238403,0.42856982350349426,630.0318918159901
tats,Autoformer,C10_empty_keep_priors,2021,Health,12,1.3333038091659546,0.8487284779548645,58.63326531498751
tats,Autoformer,C10_empty_keep_priors,2021,Health,24,1.492919921875,0.894500195980072,43.71345274300256
tats,Autoformer,C10_empty_keep_priors,2021,Health,36,1.5763012170791626,0.8830084204673767,49.68388730600418
tats,Autoformer,C10_empty_keep_priors,2021,Health,48,1.7382389307022095,0.9716880321502686,46.44677845698607
tats,Autoformer,C10_empty_keep_priors,2021,Security,6,104.53348541259766,4.5251145362854,29.979561992004164
tats,Autoformer,C10_empty_keep_priors,2021,Security,8,106.43182373046875,4.629144668579102,27.116846399003407
tats,Autoformer,C10_empty_keep_priors,2021,Security,10,108.10459899902344,4.757913589477539,26.07569765399967
tats,Autoformer,C10_empty_keep_priors,2021,Security,12,109.54854583740234,4.756320476531982,28.10169070599659
tats,Autoformer,C10_empty_keep_priors,2021,SocialGood,6,0.9996703863143921,0.5882746577262878,35.193085388993495
tats,Autoformer,C10_empty_keep_priors,2021,SocialGood,8,1.1358833312988281,0.6164690256118774,36.68870980400243
tats,Autoformer,C10_empty_keep_priors,2021,SocialGood,10,1.1044403314590454,0.6214354038238525,36.01888667400635
tats,Autoformer,C10_empty_keep_priors,2021,SocialGood,12,1.1102434396743774,0.6337825059890747,39.54016269699787
